variant.id;id;sku;title;price;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46330657636647;gid://shopify/ProductVariant/46330657636647;BR04014T;P;17000.0;gid://shopify/Product/8572968665383;Brinco 15 Anos De Ouro Branco 18K E Diamante - P;5;1;2;BR04014T
gid://shopify/ProductVariant/46331458519335;gid://shopify/ProductVariant/46331458519335;BR04027T;P;10900.0;gid://shopify/Product/8573060383015;Brinco 15 Anos De Ouro Branco 18K Com Ródio Negro E Diamante Negro - P;5;1;1;BR04027T
gid://shopify/ProductVariant/46331464122663;gid://shopify/ProductVariant/46331464122663;BR05117T;P;12600.0;gid://shopify/Product/8573061038375;Brinco 15 Anos De Ouro Branco 18K Com Ródio Negro E Diamante - P;5;1;1;BR05117T
gid://shopify/ProductVariant/46332840935719;gid://shopify/ProductVariant/46332840935719;BR05813T;G;12500.0;gid://shopify/Product/8573252272423;Brinco Avantgarde De Ouro Branco 18K Com Ródio Negro E Diamante;5;1;2;BR05813T
gid://shopify/ProductVariant/46332847554855;gid://shopify/ProductVariant/46332847554855;BR05812T;G;15200.0;gid://shopify/Product/8573252960551;Brinco Avantgarde De Ouro Branco 18K E Diamante;5;1;2;BR05812T
gid://shopify/ProductVariant/46334669095207;gid://shopify/ProductVariant/46334669095207;BR06283T;M;4300.0;gid://shopify/Product/8573441868071;Brinco Black Leopardo De Prata Com Ródio Negro - M;0;1;3;BR06283T
gid://shopify/ProductVariant/46334858985767;gid://shopify/ProductVariant/46334858985767;BR05938T;Default Title;3700.0;gid://shopify/Product/8573469491495;Brinco Blossom De Prata Com Ouro Amarelo E Safira;5;1;2;BR05938T
gid://shopify/ProductVariant/46334867767591;gid://shopify/ProductVariant/46334867767591;BR05937T;Default Title;3500.0;gid://shopify/Product/8573470703911;Brinco Blossom De Prata Com Ródio Negro E Safira;5;1;2;BR05937T
gid://shopify/ProductVariant/46335058542887;gid://shopify/ProductVariant/46335058542887;BR06373T;Default Title;78000.0;gid://shopify/Product/8573490659623;Brinco Celebrate De Ouro Amarelo 18K E Diamante;5;1;2;BR06373T
gid://shopify/ProductVariant/46335063916839;gid://shopify/ProductVariant/46335063916839;BR06375T;Default Title;59000.0;gid://shopify/Product/8573491052839;Brinco Celebrate De Ouro Amarelo 18K E Diamante;5;1;3;BR06375T
gid://shopify/ProductVariant/46335077777703;gid://shopify/ProductVariant/46335077777703;BR06380T;Default Title;14000.0;gid://shopify/Product/8573492298023;Brinco Celebrate De Ouro Amarelo 18K E Diamante;5;1;2;BR06380T
gid://shopify/ProductVariant/46335086264615;gid://shopify/ProductVariant/46335086264615;BR06387T;Default Title;9100.0;gid://shopify/Product/8573492986151;Brinco Celebrate De Ouro Amarelo 18K E Diamante;5;1;2;BR06387T
gid://shopify/ProductVariant/46335104123175;gid://shopify/ProductVariant/46335104123175;BR06372T;Default Title;89000.0;gid://shopify/Product/8573494559015;Brinco Celebrate De Ouro Branco 18K E Diamante;5;1;3;BR06372T
gid://shopify/ProductVariant/46335110545703;gid://shopify/ProductVariant/46335110545703;BR06376T;Default Title;38000.0;gid://shopify/Product/8573495181607;Brinco Celebrate De Ouro Branco 18K E Diamante;5;1;2;BR06376T
gid://shopify/ProductVariant/46335125422375;gid://shopify/ProductVariant/46335125422375;PI01465;Default Title;78000.0;gid://shopify/Product/8573496361255;Pingente Celebrate De Ouro Amarelo 18K E Esmeralda;0;1;1;PI01465
gid://shopify/ProductVariant/46336093389095;gid://shopify/ProductVariant/46336093389095;BR05604T;Default Title;6200.0;gid://shopify/Product/8573577593127;Brinco Chain Lovers De Ouro Branco 18K E Diamante;5;1;3;BR05604T
gid://shopify/ProductVariant/46336096796967;gid://shopify/ProductVariant/46336096796967;BR05777T;Default Title;12000.0;gid://shopify/Product/8573577920807;Piercing Chain Lovers De Ouro Branco 18K Com Ródio Negro E Diamante;5;1;3;BR05777T
gid://shopify/ProductVariant/46336104169767;gid://shopify/ProductVariant/46336104169767;BR05779T;Default Title;6500.0;gid://shopify/Product/8573578608935;Piercing Chain Lovers De Ouro Branco 18K Com Ródio Negro E Esmeralda;5;1;3;BR05779T
gid://shopify/ProductVariant/46336121569575;gid://shopify/ProductVariant/46336121569575;CL01443;Default Title;20900.0;gid://shopify/Product/8573579919655;Colar Choker De Ouro Amarelo 18K;5;1;2;CL01443
gid://shopify/ProductVariant/46336133431591;gid://shopify/ProductVariant/46336133431591;CL01447;Default Title;33000.0;gid://shopify/Product/8573581000999;Colar Choker De Ouro Branco 18K Com Ródio Negro E Diamante;0;1;2;CL01447
gid://shopify/ProductVariant/46336139165991;gid://shopify/ProductVariant/46336139165991;CL01451;Default Title;5200.0;gid://shopify/Product/8573581656359;Colar Choker De Ouro Branco 18K Com Ródio Negro E Diamante;5;1;2;CL01451
gid://shopify/ProductVariant/46336139264295;gid://shopify/ProductVariant/46336139264295;CL03641;Default Title;5200.0;gid://shopify/Product/8573581787431;Colar Choker De Ouro Branco 18K Com Ródio Negro E Rubi;5;1;2;CL03641
gid://shopify/ProductVariant/46336139559207;gid://shopify/ProductVariant/46336139559207;CL03643;Default Title;5200.0;gid://shopify/Product/8573581918503;Colar Choker De Ouro Branco 18K Com Ródio Negro E Safira;5;1;2;CL03643
gid://shopify/ProductVariant/46336139657511;gid://shopify/ProductVariant/46336139657511;CL03645;Default Title;5500.0;gid://shopify/Product/8573582016807;Colar Choker De Ouro Branco 18K Com Ródio Negro E Diamante Negro;5;1;2;CL03645
gid://shopify/ProductVariant/46336140837159;gid://shopify/ProductVariant/46336140837159;CL01438;Default Title;32000.0;gid://shopify/Product/8573582213415;Colar Choker De Ouro Branco 18K E Diamante;5;1;2;CL01438
