variant.id;id;sku;title;price;comparePrice;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2;SKU;Porcentagem;Encomenda
gid://shopify/ProductVariant/46331460780327;gid://shopify/ProductVariant/46331460780327;BR04355T;M;15760.0;19700.0;gid://shopify/Product/8573060677927;Brinco 15 Anos De Ouro Branco 18K Com Ródio Negro E Diamante Negro - M;6.0;1.0;3.0;BR04355T;BR04355T;20.0;Sim
gid://shopify/ProductVariant/46332407382311;gid://shopify/ProductVariant/46332407382311;CL04024;Default Title;2720.0;3400.0;gid://shopify/Product/8573204758823;Colar Amore De Ouro Branco 18K Com Ródio Negro;14.0;1.0;2.0;CL04024;CL04024;20.0;Sim
gid://shopify/ProductVariant/46334857085223;gid://shopify/ProductVariant/46334857085223;BR05931T;G;3290.0;4700.0;gid://shopify/Product/8573469065511;Brinco Blossom De Prata Com Ouro Amarelo E Safira - G;1.0;1.0;2.0;BR05931T;BR05931T;30.0;Nao
gid://shopify/ProductVariant/46334861377831;gid://shopify/ProductVariant/46334861377831;BR05932T;G;3440.0;4300.0;gid://shopify/Product/8573469917479;Brinco Blossom De Prata Com Ródio Negro E Safira - G;3.0;1.0;2.0;BR05932T;BR05932T;20.0;Nao
gid://shopify/ProductVariant/46334865015079;gid://shopify/ProductVariant/46334865015079;BR05933T;P;2450.0;3500.0;gid://shopify/Product/8573470408999;Brinco Blossom De Prata Com Ródio Negro E Safira - P;3.0;1.0;3.0;BR05933T;BR05933T;30.0;Nao
gid://shopify/ProductVariant/46336489128231;gid://shopify/ProductVariant/46336489128231;BR06258T;Default Title;14400.0;18000.0;gid://shopify/Product/8573617832231;Brinco Eterna Rock De Ouro Branco 18K E Morganita E Diamante;1.0;1.0;1.0;BR06258T;BR06258T;20.0;Nao
gid://shopify/ProductVariant/46336517308711;gid://shopify/ProductVariant/46336517308711;BR06392T;Default Title;24800.0;31000.0;gid://shopify/Product/8573624090919;Brinco Eterna Rock De Ouro Branco 18K E Topázio E Diamante;1.0;1.0;1.0;BR06392T;BR06392T;20.0;Nao
gid://shopify/ProductVariant/46355448398119;gid://shopify/ProductVariant/46355448398119;BR06522T;Default Title;176000.0;220000.0;gid://shopify/Product/8577749844263;Brinco Vita Eterna De Ouro Amarelo E Branco 18K E Diamante E Esmeralda;1.0;1.0;1.0;BR06522T;BR06522T;20.0;Nao
gid://shopify/ProductVariant/46355513213223;gid://shopify/ProductVariant/46355513213223;PI01345;P;475.0;950.0;gid://shopify/Product/8577774289191;Pingente Pop Chain De Prata Com Ouro Amarelo - P;10.0;1.0;3.0;PI01345;PI01345;50.0;Nao
gid://shopify/ProductVariant/46355513573671;gid://shopify/ProductVariant/46355513573671;PI01350;Default Title;550.0;1100.0;gid://shopify/Product/8577774453031;Pingente Pop Chain De Prata Com Ouro Amarelo;9.0;1.0;3.0;PI01350;PI01350;50.0;Nao
