id;title;handle;updatedAt;productsCount;sortOrder
gid://shopify/Collection/453681479975;Joias;frontpage;2023-08-22T19:05:58Z;10;BEST_SELLING
gid://shopify/Collection/453946605863;15 Anos;15-anos;2023-08-22T15:42:03Z;2;BEST_SELLING
gid://shopify/Collection/453947064615;Amore;amore;2023-08-21T19:16:54Z;0;BEST_SELLING
gid://shopify/Collection/453947130151;Avantgarde;avant-garde;2023-08-21T19:16:09Z;0;BEST_SELLING
gid://shopify/Collection/453947162919;Black Leopardo;black-leopardo;2023-08-21T19:15:49Z;0;BEST_SELLING
gid://shopify/Collection/453947261223;Blossom;blossom;2023-08-21T19:15:05Z;0;BEST_SELLING
gid://shopify/Collection/453947326759;Brasil;brasil;2023-08-02T19:17:59Z;0;BEST_SELLING
gid://shopify/Collection/453947359527;Celebrate;celebrate;2023-08-21T19:14:20Z;2;BEST_SELLING
gid://shopify/Collection/453947392295;Chain;chain;2023-08-21T19:13:32Z;0;BEST_SELLING
gid://shopify/Collection/453947425063;Chain Love;chain-lovers;2023-08-21T19:12:54Z;0;BEST_SELLING
gid://shopify/Collection/453947490599;Choker;choker;2023-08-21T19:10:49Z;0;BEST_SELLING
gid://shopify/Collection/453949915431;Clássico;classico;2023-07-29T12:20:21Z;0;BEST_SELLING
gid://shopify/Collection/453949948199;Deco 2019;deco-2019;2023-08-21T19:09:37Z;0;BEST_SELLING
gid://shopify/Collection/453950013735;Dolce Vita;dolce-vita;2023-08-22T19:05:08Z;0;BEST_SELLING
gid://shopify/Collection/453950046503;Dont Care;i-don-t-care;2023-08-21T19:33:46Z;0;BEST_SELLING
gid://shopify/Collection/453950112039;Especial;especial;2023-07-29T12:20:21Z;0;BEST_SELLING
gid://shopify/Collection/453950144807;Eterna Roc;eterna-rock;2023-08-02T19:35:17Z;0;BEST_SELLING
gid://shopify/Collection/453950177575;Fetiche;fetiche;2023-08-21T18:29:27Z;2;BEST_SELLING
gid://shopify/Collection/453950210343;First;first-diamond;2023-08-21T18:27:17Z;0;BEST_SELLING
gid://shopify/Collection/453950275879;Fresado;fresado;2023-07-29T12:20:21Z;0;BEST_SELLING
gid://shopify/Collection/453950341415;Gala;gala;2023-08-21T19:24:24Z;0;BEST_SELLING
gid://shopify/Collection/453950374183;Galeria;galeria;2023-07-29T12:20:21Z;0;BEST_SELLING
gid://shopify/Collection/458056794407;Jv Man;jv-man;2023-08-21T18:34:46Z;0;BEST_SELLING
gid://shopify/Collection/453950439719;Jv Man Ii;jv-man-ii;2023-08-21T18:34:46Z;0;BEST_SELLING
gid://shopify/Collection/453950472487;Leopardo;leopardo;2023-08-21T18:36:44Z;0;BEST_SELLING
gid://shopify/Collection/453950505255;Letra;letra;2023-08-21T19:43:50Z;0;BEST_SELLING
gid://shopify/Collection/453950538023;Lifestyle;lifestyle;2023-08-21T18:38:51Z;2;BEST_SELLING
gid://shopify/Collection/453950669095;Love Ny;love-ny;2023-08-21T18:46:18Z;0;BEST_SELLING
gid://shopify/Collection/453950767399;Maes 2013;maes-2013;2023-08-09T16:06:20Z;0;BEST_SELLING
gid://shopify/Collection/453950800167;Mare;mare;2023-08-21T17:35:36Z;0;BEST_SELLING
gid://shopify/Collection/453950832935;Namo 2012;namorados-2012;2023-07-29T12:20:22Z;0;BEST_SELLING
gid://shopify/Collection/453950865703;Orquidea;orquidea;2023-08-21T18:49:04Z;0;BEST_SELLING
gid://shopify/Collection/453950898471;Pequeno;pequeno-principe;2023-08-21T18:50:50Z;0;BEST_SELLING
gid://shopify/Collection/453950964007;Piscine;piscine;2023-08-21T18:51:40Z;0;BEST_SELLING
gid://shopify/Collection/453950996775;Pop;pop;2023-08-21T18:53:15Z;0;BEST_SELLING
gid://shopify/Collection/453951029543;Pop Chain;pop-chain;2023-08-21T18:54:24Z;0;BEST_SELLING
gid://shopify/Collection/453951127847;Protea;protea;2023-08-09T15:45:41Z;0;BEST_SELLING
gid://shopify/Collection/453951160615;Pura;pura;2023-08-09T15:40:34Z;0;BEST_SELLING
gid://shopify/Collection/453951193383;Riviera;riviera;2023-08-21T18:54:51Z;0;BEST_SELLING
gid://shopify/Collection/458056237351;Rock Chain;rock-chain;2023-08-21T18:55:35Z;2;BEST_SELLING
gid://shopify/Collection/453951226151;Rock Star;rock-star;2023-08-21T18:55:35Z;2;BEST_SELLING
gid://shopify/Collection/453951291687;Rock&Hot;rock-hot;2023-08-22T19:05:58Z;2;BEST_SELLING
gid://shopify/Collection/453951324455;Savage;savage;2023-08-21T18:57:40Z;0;BEST_SELLING
gid://shopify/Collection/453951357223;Tlj;tou-les-jour;2023-07-29T12:20:22Z;0;BEST_SELLING
gid://shopify/Collection/453951422759;Tropical;tropical;2023-08-09T15:31:53Z;0;BEST_SELLING
gid://shopify/Collection/453951488295;Universo;universo;2023-08-21T18:58:19Z;0;BEST_SELLING
gid://shopify/Collection/453951553831;Vita Etern;vita-eterna;2023-08-09T15:29:42Z;0;BEST_SELLING
gid://shopify/Collection/453951586599;Voyeur;voyeur;2023-08-21T18:59:08Z;0;BEST_SELLING
gid://shopify/Collection/453951619367;We Love Sapphire;we-love-sapphire;2023-08-21T19:02:28Z;0;BEST_SELLING
gid://shopify/Collection/453951652135;Whitechain;white-chain;2023-08-21T19:06:07Z;0;BEST_SELLING
gid://shopify/Collection/454385697063;Brincos;brincos;2023-08-22T19:06:28Z;4;BEST_SELLING
gid://shopify/Collection/460103680295;New Vintage;new-vintage;2023-08-22T19:06:28Z;4;BEST_SELLING
