Cod_Cliente;Message_Error
CFTH012259;Email has already been taken
CFTH002896;Email has already been taken
CWEB000879;Email has already been taken
CFTH000936;Email has already been taken
CFTH000042;Email has already been taken
CFTH007181;Email has already been taken
CFTH008939;Email has already been taken
CMAT003270;Email has already been taken
CWEB001324;Email has already been taken
CIGU014841;Email has already been taken
CFTH011799;Email has already been taken
CWEB000880;Email has already been taken
CWEB000589;Email has already been taken
CBEL018718;Email has already been taken
CFTH001626;Email has already been taken
CIGU000254;Email has already been taken
CIGU013359;Email has already been taken
CMAT002123;Email has already been taken
CIGU001196;Email has already been taken
CIGU010785;Email has already been taken
CIGU002403;Email has already been taken
CWEB000422;Email has already been taken
CNK 000089;Email has already been taken
CMAT012725;Email has already been taken
CMAT003116;Email has already been taken
CIGL000432;Email has already been taken
CIGU001669;Email has already been taken
CWEB000523;Email has already been taken
CIGU013376;Email has already been taken
CFTH004662;Email has already been taken
CFTH000479;Email has already been taken
CFTH006481;Email has already been taken
CFTH000064;Email has already been taken
CFTH001011;Email has already been taken
CWEB001043;Email has already been taken
CWEB001212;Email has already been taken
CRIB000047;Email has already been taken
CBEL018622;Email has already been taken
CFSM010969;Email has already been taken
CIGU000946;Email has already been taken
CIGU011042;Email has already been taken
CFSM010987;Email has already been taken
CNK 000209;Email has already been taken
CWEB000168;Email has already been taken
CIGU001827;Email has already been taken
CMAT002557;Email has already been taken
CWEB000443;Email has already been taken
CMAT012992;Email has already been taken
CDAS000265;Email has already been taken
CMAT003972;Email has already been taken
CIGU014464;Email has already been taken
CBEL018621;Email has already been taken
CMAT001705;Email has already been taken
CIGU010807;Email has already been taken
CFSM010412;Email has already been taken
CNK 000102;Email has already been taken
CNK 000252;Email has already been taken
CIGL001892;Email has already been taken
CIGU002714;Email has already been taken
CFSM010905;Email has already been taken
CIGU012948;Email has already been taken
CFTH000138;Email has already been taken
CBEL019799;Email has already been taken
CNK 000091;Email has already been taken
CIGU014364;Email has already been taken
CMAT002112;Email has already been taken
CIGU014917;Email has already been taken
CIGL000414;Email has already been taken
CIGU004013;Email has already been taken
CWEB000390;Email has already been taken
CWEB000225;Email has already been taken
CIGU011947;Email has already been taken
CWEB000910;Email has already been taken
CFTH006864;Email has already been taken
CFTH000153;Email has already been taken
CWEB000578;Email has already been taken
CNK 000080;Email has already been taken
CWEB001095;Email has already been taken
CFTH000568;Email has already been taken
CWEB000708;Email has already been taken
CWEB000899;Email has already been taken
CFTH000997;Email has already been taken
CWEB001091;Email has already been taken
CFTH001498;Email has already been taken
CFTH000603;Email has already been taken
CMAT002539;Email has already been taken
CWEB000576;Email has already been taken
CWEB000764;Email has already been taken
CFTH001648;Email has already been taken
PDES000012;Email has already been taken
CFTH001497;Email has already been taken
CWEB000792;Email has already been taken
CNK 000098;Email has already been taken
CFTH001065;Email has already been taken
CFTH002489;Email has already been taken
CFTH000077;Email has already been taken
CWEB000565;Email has already been taken
CMAG000109;Email has already been taken
CFSM010251;Email has already been taken
CMAT003488;Email has already been taken
CWEB000243;Email has already been taken
CWEB000377;Email has already been taken
CWEB000339;Email has already been taken
CMAG000190;Email has already been taken
CMAG000173;Email has already been taken
CWEB000470;Email has already been taken
CBEL005261;Email has already been taken
CBEL019191;Email has already been taken
CWEB000500;Email has already been taken
CMAG000083;Email has already been taken
CIGU010639;Email has already been taken
CIGU011818;Email has already been taken
CIGU011746;Email has already been taken
CMAG000143;Email has already been taken
CMAT001446;Email has already been taken
CBEL005335;Email has already been taken
CBEL005618;Email has already been taken
CWEB000430;Email has already been taken
CBEL005279;Email has already been taken
