Sku;activate
BR04014T;1.0
BR04127T;1.0
BR04027T;1.0
BR04355T;1.0
BR05117T;1.0
CL04023;1.0
CL04025;1.0
CL04022;1.0
CL04024;1.0
BR05813T;1.0
BR05812T;1.0
BR06282T;1.0
BR06283T;1.0
CL04551;1.0
BR05931T;1.0
BR05938T;1.0
BR05932T;1.0
BR05933T;1.0
BR05937T;1.0
BR04476T;1.0
BR06373T;1.0
BR06375T;1.0
BR06377T;1.0
BR06379T;1.0
BR06380T;1.0
BR06381T;1.0
BR06387T;1.0
BR06299T;1.0
BR06301T;1.0
BR06302T;1.0
BR06372T;1.0
BR06374T;1.0
BR06376T;1.0
BR06378T;1.0
BR06388T;1.0
PI01465;1.0
BR05398T;1.0
BR05400T;1.0
BR05404T;1.0
BR05407T;1.0
BR05411T;1.0
BR05602T;1.0
BR05399T;1.0
BR05405T;1.0
BR05408T;1.0
BR05412T;1.0
CL04178;1.0
CL04182;1.0
CL04179;1.0
BR05606T;1.0
PU01791T;1.0
PU01805T;1.0
PU01792T;1.0
PU01806T;1.0
BR05581T;1.0
BR05603T;1.0
BR05580T;1.0
BR05604T;1.0
BR05777T;1.0
BR05778T;1.0
BR05779T;1.0
CL01443;1.0
CL01450;1.0
CL01442;1.0
CL01447;1.0
CL01449;1.0
CL01451;1.0
CL03641;1.0
CL03642;1.0
CL03643;1.0
CL03645;1.0
CL01438;1.0
CL01446;1.0
CL01448;1.0
CL01452;1.0
BR05643T;1.0
BR05649T;1.0
BR05642T;1.0
BR05650T;1.0
CL04288;1.0
CL04279;1.0
BR02400T;1.0
BR02108T;1.0
BR02120T;1.0
BR02148T;1.0
CL01000;1.0
CL01042;1.0
CL01100;1.0
CL00999;1.0
CL00016;1.0
CO01314;1.0
CO01318;1.0
CO01312;1.0
CO01316;1.0
CO00023;1.0
CO01277;1.0
CO01315;1.0
CO01313;1.0
CO01317;1.0
BR02212T;1.0
BR03167T;1.0
BR03682T;1.0
BR02192T;1.0
PU01082T;1.0
PU01936T;1.0
PU01278T;1.0
PU01293T;1.0
PU01314T;1.0
PU01081T;1.0
PU01422T;1.0
PU01074T;1.0
PU01552T;1.0
BR04856T;1.0
BR04857T;1.0
BR05616T;1.0
BR05879T;1.0
BR06472T;1.0
BR06513T;1.0
BR04220T;1.0
BR04221T;1.0
BR04223T;1.0
BR06298T;1.0
PU02059T;1.0
BR05881T;1.0
BR03449T;1.0
BR05301T;1.0
BR06039T;1.0
BR06040T;1.0
BR06041T;1.0
BR06042T;1.0
BR06111T;1.0
CL04318;1.0
CL04441;1.0
CL04442;1.0
CL04443;1.0
CL04328;1.0
BR06473T;1.0
BR06258T;1.0
CL06397;1.0
BR06392T;1.0
BR03582T;1.0
BR02064T;1.0
BR02005T;1.0
CL00331;1.0
CO0866;1.0
CL00098;1.0
CL00730;1.0
CL00332;1.0
CO0857;1.0
CL00330;1.0
PU01335T;1.0
PU01336T;1.0
PU01333T;1.0
PU01334T;1.0
BR04304T;1.0
BR04305T;1.0
CL01285;1.0
CL01286;1.0
PI01064;1.0
PI01065;1.0
PI01066;1.0
PI01067;1.0
PI01062;1.0
PI01063;1.0
BR05791T;1.0
BR06120T;1.0
BR06121T;1.0
BR06122T;1.0
CL04480;1.0
BR04822T;1.0
BR04824T;1.0
BR04833T;1.0
BR04845T;1.0
BR04849T;1.0
BR04820T;1.0
BR04847T;1.0
BR04850T;1.0
BR04852T;1.0
CL03693;1.0
CL03714;1.0
CL03783;1.0
CL03712;1.0
CL03716;1.0
CL03785;1.0
BR05260T;1.0
BR05269T;1.0
BR05271T;1.0
BR05254T;1.0
BR05257T;1.0
BR05258T;1.0
BR05262T;1.0
BR05268T;1.0
BR05272T;1.0
BR05392T;1.0
BR05240T;1.0
BR05249T;1.0
BR05256T;1.0
BR05259T;1.0
BR05261T;1.0
BR05264T;1.0
BR05267T;1.0
BR05281T;1.0
BR05280T;1.0
BR05283T;1.0
BR05300T;1.0
BR05279T;1.0
BR05282T;1.0
BR05299T;1.0
PU01768T;1.0
PU01767T;1.0
BR04415T;1.0
BR04382T;1.0
BR04385T;1.0
BR04381T;1.0
BR04384T;1.0
CL01318;1.0
PU01661T;1.0
PU01662T;1.0
PU01655T;1.0
BR05443T;1.0
BR05444T;1.0
BR05449T;1.0
BR05451T;1.0
BR05453T;1.0
BR05448T;1.0
BR05450T;1.0
BR05452T;1.0
CL04197;1.0
CL04199;1.0
CL04198;1.0
PU01808T;1.0
CL04575;1.0
BR03453T;1.0
BR02140T;1.0
BR01992T;1.0
CL01040;1.0
CL00737;1.0
CO0993;1.0
BR05031T;1.0
BR05033T;1.0
CL03879;1.0
BR06522T;1.0
BR06452T;1.0
BR06454T;1.0
BR04907T;1.0
BR04908T;1.0
BR04910T;1.0
BR04911T;1.0
BR04914T;1.0
BR04915T;1.0
BR04917T;1.0
BR04918T;1.0
BR04924T;1.0
BR04925T;1.0
BR04913T;1.0
BR04916T;1.0
BR04922T;1.0
BR04923T;1.0
CL03837;1.0
CL03838;1.0
CL03832;1.0
BR04920T;1.0
PU01704T;1.0
PU01705T;1.0
BR03065T;1.0
BR03066T;1.0
BR03067T;1.0
BR03071T;1.0
BR03110T;1.0
BR03150T;1.0
BR05002T;1.0
BR03063T;1.0
BR03070T;1.0
BR04906T;1.0
BR05598T;1.0
BR05599T;1.0
CL04260;1.0
BR06049T;1.0
BR06050T;1.0
BR06051T;1.0
BR06053T;1.0
BR06054T;1.0
BR06062T;1.0
BR06063T;1.0
BR06064T;1.0
BR06068T;1.0
BR06069T;1.0
BR06070T;1.0
BR06072T;1.0
BR06073T;1.0
BR06074T;1.0
BR06105T;1.0
BR06055T;1.0
BR06056T;1.0
BR06057T;1.0
BR06058T;1.0
BR06059T;1.0
BR06061T;1.0
BR06071T;1.0
PI01364;1.0
PI01457;1.0
PI01365;1.0
BR05983T;1.0
BR05987T;1.0
BR05991T;1.0
BR05995T;1.0
BR05999T;1.0
BR05984T;1.0
BR05988T;1.0
BR05992T;1.0
BR05996T;1.0
CL04429;1.0
CL04430;1.0
BR06004T;1.0
PI01341;1.0
PI01345;1.0
PI01350;1.0
PI01342;1.0
PI01346;1.0
PI01351;1.0
BR05782T;1.0
BR05783T;1.0
BR05784T;1.0
BR05849T;1.0
CL04336;1.0
PU01915T;1.0
BR06155T;1.0
BR06159T;1.0
BR06168T;1.0
BR06170T;1.0
BR06171T;1.0
BR06172T;1.0
BR06173T;1.0
BR06174T;1.0
BR06175T;1.0
BR06176T;1.0
BR06177T;1.0
BR06178T;1.0
BR06179T;1.0
BR06192T;1.0
BR06252T;1.0
BR06152T;1.0
BR06158T;1.0
PU01999T;1.0
PU02001T;1.0
PU02003T;1.0
PU02006T;1.0
PU03422T;1.0
PU01997T;1.0
BR05350T;1.0
BR05351T;1.0
BR05352T;1.0
BR05353T;1.0
CO01278;1.0
CO01279;1.0
CO01280;1.0
CO01281;1.0
CO01282;1.0
BR06544T;1.0
BR06545T;1.0
BR06546T;1.0
BR06547T;1.0
BR06549T;1.0
BR06554T;1.0
BR06559T;1.0
BR06560T;1.0
CL04619;1.0
CL04621;1.0
CL04622;1.0
CL04631;1.0
PI01495;1.0
PI01496;1.0
BR06486T;1.0
BR06488T;1.0
BR06489T;1.0
BR06490T;1.0
BR06491T;1.0
BR06493T;1.0
BR06495T;1.0
BR06496T;1.0
BR06497T;1.0
BR06500T;1.0
BR06501T;1.0
BR06502T;1.0
BR06506T;1.0
BR06508T;1.0
BR06503T;1.0
CO01329;1.0
CO01331;1.0
CO01328;1.0
CO01330;1.0
PI01473;1.0
PI01474;1.0
PI01475;1.0
PI01476;1.0
PI01479;1.0
PI01480;1.0
PI01482;1.0
PI01486;1.0
BR06485T;1.0
BR06492T;1.0
PI01477;1.0
PI01481;1.0
PI01484;1.0
BR06494T;1.0
PI01478;1.0
CL04313;1.0
CL04314;1.0
CO01305;1.0
CO01308;1.0
PI01321;1.0
PI01330;1.0
PI01320;1.0
PI01315;1.0
PI01318;1.0
PI01319;1.0
PI01331;1.0
PI01333;1.0
PU01853T;1.0
PU01852T;1.0
PU01862T;1.0
PU01868T;1.0
PU01873T;1.0
PU01855T;1.0
PU01858T;1.0
PU01900T;1.0
PU01904T;1.0
PU01885T;1.0
PU01890T;1.0
PU01892T;1.0
PU01893T;1.0
PU01909T;1.0
BR06212T;1.0
BR06209T;1.0
BR06207T;1.0
CL04525;1.0
PI01383;1.0
PI01387;1.0
PI01388;1.0
PI01389;1.0
PI01390;1.0
PI01391;1.0
PI01392;1.0
PI01393;1.0
PI01394;1.0
PI01395;1.0
PI01396;1.0
PI01397;1.0
PI01398;1.0
PI01460;1.0
PI01461;1.0
PI01462;1.0
PI01463;1.0
PI01466;1.0
PI01467;1.0
PI01380;1.0
PU02014T;1.0
PU02015T;1.0
PU02016T;1.0
PU02067T;1.0
PU02007T;1.0
PU02008T;1.0
PU02009T;1.0
PI01464;1.0
AB01009;1.0
AB01010;1.0
AB01011;1.0
CL01134;1.0
CL01133;1.0
CL01116;1.0
CO0939R;1.0
CO0942R;1.0
CO0950R;1.0
CO0954R;1.0
CO0956R;1.0
CO0957R;1.0
CO0958R;1.0
CO0959R;1.0
CO0935A;1.0
CO0937A;1.0
CO0942A;1.0
CO0950A;1.0
CO0954A;1.0
CO0956A;1.0
CO0957A;1.0
CO0958A;1.0
CO0934B;1.0
CO0935B;1.0
