id;sku;title;price;compareAtPrice;inventoryQuantity;product_id;title.1;totalInventory;totalVariants;mediaCount.count;sku_2;variant.sku;variant.id;encomenda ouro;encomenda prata;Encomendavel;Em estoque
gid://shopify/ProductVariant/46330657636647;BR04014T;P;24500.0;17000.0;5;gid://shopify/Product/8572968665383;Brinco Star Diamond - P | Ouro Branco 18K E Diamantes;5;1;4;BR04014T;BR04014T;gid://shopify/ProductVariant/46330657636647;5.0;0.0;True;False
gid://shopify/ProductVariant/46330660913447;BR04127T;M;42900.0;34000.0;0;gid://shopify/Product/8572968960295;Brinco Star Diamond - M | Ouro Branco 18K E Diamantes;0;1;4;BR04127T;BR04127T;gid://shopify/ProductVariant/46330660913447;0.0;0.0;False;False
gid://shopify/ProductVariant/46331458519335;BR04027T;P;14900.0;10900.0;5;gid://shopify/Product/8573060383015;Brinco Star Diamond - P | Ouro Branco 18K Com Ródio Negro E Diamantes Negros;5;1;2;BR04027T;BR04027T;gid://shopify/ProductVariant/46331458519335;5.0;0.0;True;False
gid://shopify/ProductVariant/46331460780327;BR04355T;M;25500.0;19700.0;1;gid://shopify/Product/8573060677927;Brinco 15 Anos - M | Ouro Branco 18K Com Ródio Negro E Diamantes Negros;1;1;4;BR04355T;BR04355T;gid://shopify/ProductVariant/46331460780327;0.0;0.0;False;True
gid://shopify/ProductVariant/46331464122663;BR05117T;P;16500.0;12600.0;5;gid://shopify/Product/8573061038375;Brinco Star Diamond - P | Ouro Branco 18K Com Ródio Negro E Diamantes;5;1;2;BR05117T;BR05117T;gid://shopify/ProductVariant/46331464122663;5.0;0.0;True;False
gid://shopify/ProductVariant/46332394570023;CL04023;Default Title;5500.0;3400.0;6;gid://shopify/Product/8573203317031;Colar Amore De Ouro Amarelo 18K;6;1;3;CL04023;CL04023;gid://shopify/ProductVariant/46332394570023;5.0;0.0;True;True
gid://shopify/ProductVariant/46332398502183;CL04025;Default Title;5500.0;3400.0;6;gid://shopify/Product/8573203808551;Colar Amore De Ouro Amarelo 18K;6;1;3;CL04025;CL04025;gid://shopify/ProductVariant/46332398502183;5.0;0.0;True;True
gid://shopify/ProductVariant/46332404007207;CL04022;Default Title;5500.0;3400.0;1;gid://shopify/Product/8573204300071;Colar Amore De Ouro Branco 18K Com Ródio Negro;1;1;3;CL04022;CL04022;gid://shopify/ProductVariant/46332404007207;0.0;0.0;False;True
gid://shopify/ProductVariant/46332407382311;CL04024;Default Title;4400.0;3400.0;0;gid://shopify/Product/8573204758823;Colar Amore De Ouro Branco 18K Com Ródio Negro;0;1;3;CL04024;CL04024;gid://shopify/ProductVariant/46332407382311;0.0;0.0;False;False
gid://shopify/ProductVariant/46332840935719;BR05813T;G;21900.0;12500.0;5;gid://shopify/Product/8573252272423;Brinco Avantgarde | Ouro Branco 18K Com Ródio Negro E Diamantes;5;1;3;BR05813T;BR05813T;gid://shopify/ProductVariant/46332840935719;5.0;0.0;True;False
gid://shopify/ProductVariant/46332847554855;BR05812T;G;24500.0;15200.0;6;gid://shopify/Product/8573252960551;Brinco Avantgarde | Ouro Branco 18K E Diamantes;6;1;3;BR05812T;BR05812T;gid://shopify/ProductVariant/46332847554855;5.0;0.0;True;True
gid://shopify/ProductVariant/46334665654567;BR06282T;G;5900.0;4600.0;0;gid://shopify/Product/8573441376551;Brinco Black Leopardo - G | Prata Com Ródio Negro;0;1;4;BR06282T;BR06282T;gid://shopify/ProductVariant/46334665654567;0.0;0.0;False;False
gid://shopify/ProductVariant/46334669095207;BR06283T;M;5400.0;4300.0;0;gid://shopify/Product/8573441868071;Brinco Black Leopardo - M | Prata com Ródio Negro;0;1;4;BR06283T;BR06283T;gid://shopify/ProductVariant/46334669095207;0.0;0.0;False;False
gid://shopify/ProductVariant/46334672273703;CL04551;M;7800.0;7800.0;0;gid://shopify/Product/8573442294055;Colar Black Leopardo - Maxi | Prata com Ródio Negro;0;1;3;CL04551;CL04551;gid://shopify/ProductVariant/46334672273703;0.0;0.0;False;False
gid://shopify/ProductVariant/46334857085223;BR05931T;G;4700.0;4700.0;0;gid://shopify/Product/8573469065511;Brinco Blossom - G | Prata Com Ouro Amarelo 18k E Safira;0;1;2;BR05931T;BR05931T;gid://shopify/ProductVariant/46334857085223;0.0;0.0;False;False
