variant.sku;variant.id;encomenda ouro;encomenda prata;Encomendavel
015bfeed-30ab-409f-a2eb-d0b0eda31c02;gid://shopify/ProductVariant/46804975616295;0;0;false
09b1fdb8-0391-4f9e-8e73-f06ed4b57d96;gid://shopify/ProductVariant/46804975190311;0;0;false
11140b6a-4a03-40da-b126-94ab9ba069b9;gid://shopify/ProductVariant/46804975124775;0;0;false
1523ae5b-d62d-49b4-86fe-bd246e8b37c0;gid://shopify/ProductVariant/46804975419687;0;0;false
1e8ceff9-18b3-4d66-a88d-522ba374f585;gid://shopify/ProductVariant/46804975747367;0;0;false
216193af-a5a4-47e9-9f73-85592ec542f5;gid://shopify/ProductVariant/46804975485223;0;0;false
238e54c7-8686-4801-9907-00d7e8aa2351;gid://shopify/ProductVariant/46804975517991;0;0;false
25804bb0-4016-4901-8353-86a5c4659c91;gid://shopify/ProductVariant/46804975681831;0;0;false
28f5fd76-659f-4f81-b1e5-5e9bcc60f27e;gid://shopify/ProductVariant/46804975386919;0;0;false
33869986-3670-408f-9ec6-500f1d5989f3;gid://shopify/ProductVariant/46804975059239;0;0;false
37785476-30d3-4b51-a6dc-37b74c7590a5;gid://shopify/ProductVariant/46804975583527;0;0;false
38f260ae-b37f-48a0-be5e-b66b6eaa2fde;gid://shopify/ProductVariant/46804975288615;0;0;false
5b402806-a653-4854-83da-8b0bc7b1c9ef;gid://shopify/ProductVariant/46804975812903;0;0;false
603e3747-abfe-433a-b815-372ebed0a8d7;gid://shopify/ProductVariant/46804975092007;0;0;false
6dbfddf9-7a9e-41c7-8e4a-e2ac6cfe3bee;gid://shopify/ProductVariant/46804975780135;0;0;false
70eb39f5-d5b9-45cb-8f7c-8cdc8ea4a5c8;gid://shopify/ProductVariant/46804975157543;0;0;false
7517a12c-b739-49de-9110-39484787240a;gid://shopify/ProductVariant/46804975354151;0;0;false
76ec442a-de87-4cb9-8f33-7c92e9c5d020;gid://shopify/ProductVariant/46804975878439;0;0;false
9998f3c4-9b24-4f51-9ee7-a024804c37ed;gid://shopify/ProductVariant/46804975845671;0;0;false
AB01009;gid://shopify/ProductVariant/46356878721319;0;5;true
AB01010;gid://shopify/ProductVariant/46356879868199;0;0;false
AB01011;gid://shopify/ProductVariant/46356881801511;0;5;true
AL00031-10;gid://shopify/ProductVariant/46393450594599;5;0;true
AL00031-11;gid://shopify/ProductVariant/46393450627367;5;0;true
AL00031-12;gid://shopify/ProductVariant/46393450660135;5;0;true
AL00031-13;gid://shopify/ProductVariant/46393450692903;5;0;true
AL00031-14;gid://shopify/ProductVariant/46393450725671;5;0;true
AL00031-15;gid://shopify/ProductVariant/46393450758439;5;0;true
AL00031-16;gid://shopify/ProductVariant/46393450791207;5;0;true
AL00031-17;gid://shopify/ProductVariant/46393450823975;5;0;true
AL00031-18;gid://shopify/ProductVariant/46393450856743;5;0;true
AL00031-19;gid://shopify/ProductVariant/46393450889511;5;0;true
AL00031-20;gid://shopify/ProductVariant/46393450922279;5;0;true
AL00031-21;gid://shopify/ProductVariant/46393450955047;5;0;true
AL00031-22;gid://shopify/ProductVariant/46393450987815;5;0;true
AL00033-10;gid://shopify/ProductVariant/46393454068007;5;0;true
AL00033-11;gid://shopify/ProductVariant/46393454100775;5;0;true
AL00033-12;gid://shopify/ProductVariant/46393454133543;5;0;true
AL00033-13;gid://shopify/ProductVariant/46393454166311;5;0;true
AL00033-14;gid://shopify/ProductVariant/46393454199079;5;0;true
AL00033-15;gid://shopify/ProductVariant/46393454231847;5;0;true
AL00033-16;gid://shopify/ProductVariant/46393454264615;5;0;true
AL00033-17;gid://shopify/ProductVariant/46393454297383;5;0;true
AL00033-18;gid://shopify/ProductVariant/46393454330151;5;0;true
AL00033-19;gid://shopify/ProductVariant/46393454362919;5;0;true
AL00033-20;gid://shopify/ProductVariant/46393454395687;5;0;true
AL00033-21;gid://shopify/ProductVariant/46393454428455;5;0;true
AL00033-22;gid://shopify/ProductVariant/46393454461223;5;0;true
AL00037-10;gid://shopify/ProductVariant/46393451315495;5;0;true
AL00037-11;gid://shopify/ProductVariant/46393451348263;5;0;true
AL00037-12;gid://shopify/ProductVariant/46393451381031;5;0;true
AL00037-13;gid://shopify/ProductVariant/46393451413799;5;0;true
AL00037-14;gid://shopify/ProductVariant/46393451446567;5;0;true
AL00037-15;gid://shopify/ProductVariant/46393451479335;5;0;true
AL00037-16;gid://shopify/ProductVariant/46393451512103;5;0;true
AL00037-17;gid://shopify/ProductVariant/46393451544871;5;0;true
AL00037-18;gid://shopify/ProductVariant/46393451577639;5;0;true
AL00037-19;gid://shopify/ProductVariant/46393451610407;5;0;true
AL00037-20;gid://shopify/ProductVariant/46393451643175;5;0;true
AL00037-21;gid://shopify/ProductVariant/46393451675943;5;0;true
AL00037-22;gid://shopify/ProductVariant/46393451708711;5;0;true
AL00042-10;gid://shopify/ProductVariant/46393457836327;5;0;true
AL00042-11;gid://shopify/ProductVariant/46393457869095;5;0;true
AL00042-12;gid://shopify/ProductVariant/46393457901863;5;0;true
AL00042-13;gid://shopify/ProductVariant/46393457934631;5;0;true
AL00042-14;gid://shopify/ProductVariant/46393457967399;5;0;true
AL00042-15;gid://shopify/ProductVariant/46393458000167;5;0;true
AL00042-16;gid://shopify/ProductVariant/46393458032935;5;0;true
AL00042-17;gid://shopify/ProductVariant/46393458065703;5;0;true
AL00042-18;gid://shopify/ProductVariant/46393458098471;5;0;true
AL00042-19;gid://shopify/ProductVariant/46393458131239;5;0;true
AL00042-20;gid://shopify/ProductVariant/46393458164007;5;0;true
AL00042-21;gid://shopify/ProductVariant/46393458196775;5;0;true
AL00042-22;gid://shopify/ProductVariant/46393458229543;5;0;true
AL00049-10;gid://shopify/ProductVariant/46393458458919;5;0;true
AL00049-11;gid://shopify/ProductVariant/46393458491687;5;0;true
AL00049-12;gid://shopify/ProductVariant/46393458524455;5;0;true
AL00049-13;gid://shopify/ProductVariant/46393458557223;5;0;true
AL00049-14;gid://shopify/ProductVariant/46393458589991;5;0;true
AL00049-15;gid://shopify/ProductVariant/46393458622759;5;0;true
AL00049-16;gid://shopify/ProductVariant/46393458655527;5;0;true
AL00049-17;gid://shopify/ProductVariant/46393458688295;5;0;true
AL00049-18;gid://shopify/ProductVariant/46393458721063;5;0;true
AL00049-19;gid://shopify/ProductVariant/46393458753831;5;0;true
AL00049-20;gid://shopify/ProductVariant/46393458786599;5;0;true
AL00049-21;gid://shopify/ProductVariant/46393458819367;5;0;true
AL00049-22;gid://shopify/ProductVariant/46393458852135;5;0;true
AL00069-10;gid://shopify/ProductVariant/46393459015975;5;0;true
AL00069-11;gid://shopify/ProductVariant/46393459048743;5;0;true
AL00069-12;gid://shopify/ProductVariant/46393459081511;5;0;true
AL00069-13;gid://shopify/ProductVariant/46393459114279;5;0;true
AL00069-14;gid://shopify/ProductVariant/46393459147047;5;0;true
AL00069-15;gid://shopify/ProductVariant/46393459179815;5;0;true
AL00069-16;gid://shopify/ProductVariant/46393459212583;5;0;true
AL00069-17;gid://shopify/ProductVariant/46393459245351;5;0;true
AL00069-18;gid://shopify/ProductVariant/46393459278119;5;0;true
AL00069-19;gid://shopify/ProductVariant/46393459310887;5;0;true
AL00069-20;gid://shopify/ProductVariant/46393459343655;5;0;true
AL00069-21;gid://shopify/ProductVariant/46393459376423;5;0;true
AL00069-22;gid://shopify/ProductVariant/46393459409191;5;0;true
AL0119-10;gid://shopify/ProductVariant/46393454723367;5;0;true
AL0119-11;gid://shopify/ProductVariant/46393454756135;5;0;true
AL0119-12;gid://shopify/ProductVariant/46393454788903;5;0;true
AL0119-13;gid://shopify/ProductVariant/46393454821671;5;0;true
AL0119-14;gid://shopify/ProductVariant/46393454854439;5;0;true
AL0119-15;gid://shopify/ProductVariant/46393454887207;5;0;true
AL0119-16;gid://shopify/ProductVariant/46393454919975;5;0;true
AL0119-17;gid://shopify/ProductVariant/46393454952743;5;0;true
AL0119-18;gid://shopify/ProductVariant/46393454985511;5;0;true
AL0119-19;gid://shopify/ProductVariant/46393455018279;5;0;true
AL0119-20;gid://shopify/ProductVariant/46393455051047;5;0;true
AL0119-21;gid://shopify/ProductVariant/46393455083815;5;0;true
AL0119-22;gid://shopify/ProductVariant/46393455116583;5;0;true
AL0121-10;gid://shopify/ProductVariant/46393455771943;5;0;true
AL0121-11;gid://shopify/ProductVariant/46393455804711;5;0;true
AL0121-12;gid://shopify/ProductVariant/46393455837479;5;0;true
AL0121-13;gid://shopify/ProductVariant/46393455870247;5;0;true
AL0121-14;gid://shopify/ProductVariant/46393455903015;5;0;true
AL0121-15;gid://shopify/ProductVariant/46393455935783;5;0;true
AL0121-16;gid://shopify/ProductVariant/46393455968551;5;0;true
AL0121-17;gid://shopify/ProductVariant/46393456001319;5;0;true
AL0121-18;gid://shopify/ProductVariant/46393456034087;5;0;true
AL0121-19;gid://shopify/ProductVariant/46393456066855;5;0;true
AL0121-20;gid://shopify/ProductVariant/46393456099623;5;0;true
AL0121-21;gid://shopify/ProductVariant/46393456132391;5;0;true
AL0121-22;gid://shopify/ProductVariant/46393456165159;5;0;true
AL0123-10;gid://shopify/ProductVariant/46393456623911;5;0;true
AL0123-11;gid://shopify/ProductVariant/46393456656679;5;0;true
AL0123-12;gid://shopify/ProductVariant/46393456689447;5;0;true
AL0123-13;gid://shopify/ProductVariant/46393456722215;5;0;true
AL0123-14;gid://shopify/ProductVariant/46393456754983;5;0;true
AL0123-15;gid://shopify/ProductVariant/46393456787751;5;0;true
AL0123-16;gid://shopify/ProductVariant/46393456820519;5;0;true
AL0123-17;gid://shopify/ProductVariant/46393456853287;5;0;true
AL0123-18;gid://shopify/ProductVariant/46393456886055;5;0;true
AL0123-19;gid://shopify/ProductVariant/46393456918823;5;0;true
AL0123-20;gid://shopify/ProductVariant/46393456951591;5;0;true
AL0123-21;gid://shopify/ProductVariant/46393456984359;5;0;true
AL0123-22;gid://shopify/ProductVariant/46393457017127;5;0;true
AL0127-10;gid://shopify/ProductVariant/46393451741479;5;0;true
AL0127-11;gid://shopify/ProductVariant/46393451774247;5;0;true
AL0127-12;gid://shopify/ProductVariant/46393451807015;5;0;true
AL0127-13;gid://shopify/ProductVariant/46393451839783;5;0;true
AL0127-14;gid://shopify/ProductVariant/46393451872551;5;0;true
AL0127-15;gid://shopify/ProductVariant/46393451905319;5;0;true
AL0127-16;gid://shopify/ProductVariant/46393451938087;5;0;true
AL0127-17;gid://shopify/ProductVariant/46393451970855;5;0;true
AL0127-18;gid://shopify/ProductVariant/46393452003623;5;0;true
AL0127-19;gid://shopify/ProductVariant/46393452036391;5;0;true
AL0127-20;gid://shopify/ProductVariant/46393452069159;5;0;true
AL0127-21;gid://shopify/ProductVariant/46393452101927;5;0;true
AL0127-22;gid://shopify/ProductVariant/46393452134695;5;0;true
AL0129-10;gid://shopify/ProductVariant/46393452626215;5;0;true
AL0129-11;gid://shopify/ProductVariant/46393452658983;5;0;true
AL0129-12;gid://shopify/ProductVariant/46393452691751;5;0;true
AL0129-13;gid://shopify/ProductVariant/46393452724519;5;0;true
AL0129-14;gid://shopify/ProductVariant/46393452757287;5;0;true
AL0129-15;gid://shopify/ProductVariant/46393452790055;5;0;true
AL0129-16;gid://shopify/ProductVariant/46393452822823;5;0;true
AL0129-17;gid://shopify/ProductVariant/46393452855591;5;0;true
AL0129-18;gid://shopify/ProductVariant/46393452888359;5;0;true
AL0129-19;gid://shopify/ProductVariant/46393452921127;5;0;true
AL0129-20;gid://shopify/ProductVariant/46393452953895;5;0;true
AL0129-21;gid://shopify/ProductVariant/46393452986663;5;0;true
AL0129-22;gid://shopify/ProductVariant/46393453019431;5;0;true
AL0131-10;gid://shopify/ProductVariant/46393453248807;5;0;true
AL0131-11;gid://shopify/ProductVariant/46393453281575;5;0;true
AL0131-12;gid://shopify/ProductVariant/46393453314343;5;0;true
AL0131-13;gid://shopify/ProductVariant/46393453347111;5;0;true
AL0131-14;gid://shopify/ProductVariant/46393453379879;5;0;true
AL0131-15;gid://shopify/ProductVariant/46393453412647;5;0;true
AL0131-16;gid://shopify/ProductVariant/46393453445415;5;0;true
AL0131-17;gid://shopify/ProductVariant/46393453478183;5;0;true
AL0131-18;gid://shopify/ProductVariant/46393453510951;5;0;true
AL0131-19;gid://shopify/ProductVariant/46393453543719;5;0;true
AL0131-20;gid://shopify/ProductVariant/46393453576487;5;0;true
AL0131-21;gid://shopify/ProductVariant/46393453609255;5;0;true
AL0131-22;gid://shopify/ProductVariant/46393453642023;5;0;true
AL0143-10;gid://shopify/ProductVariant/46393457213735;5;0;true
AL0143-11;gid://shopify/ProductVariant/46393457246503;5;0;true
AL0143-12;gid://shopify/ProductVariant/46393457279271;5;0;true
AL0143-13;gid://shopify/ProductVariant/46393457312039;5;0;true
AL0143-14;gid://shopify/ProductVariant/46393457344807;5;0;true
AL0143-15;gid://shopify/ProductVariant/46393457377575;5;0;true
AL0143-16;gid://shopify/ProductVariant/46393457410343;5;0;true
AL0143-17;gid://shopify/ProductVariant/46393457443111;5;0;true
AL0143-18;gid://shopify/ProductVariant/46393457475879;5;0;true
AL0143-19;gid://shopify/ProductVariant/46393457508647;5;0;true
AL0143-20;gid://shopify/ProductVariant/46393457541415;5;0;true
AL0143-21;gid://shopify/ProductVariant/46393457574183;5;0;true
AL0143-22;gid://shopify/ProductVariant/46393457606951;5;0;true
AL02775-10;gid://shopify/ProductVariant/46393459704103;5;0;true
AL02775-11;gid://shopify/ProductVariant/46393459736871;5;0;true
AL02775-12;gid://shopify/ProductVariant/46393459769639;5;0;true
AL02775-13;gid://shopify/ProductVariant/46393459802407;5;0;true
AL02775-14;gid://shopify/ProductVariant/46393459835175;5;0;true
AL02775-15;gid://shopify/ProductVariant/46393459867943;5;0;true
AL02775-16;gid://shopify/ProductVariant/46393459900711;5;0;true
AL02775-17;gid://shopify/ProductVariant/46393459933479;5;0;true
AL02775-18;gid://shopify/ProductVariant/46393459966247;5;0;true
AL02775-19;gid://shopify/ProductVariant/46393459999015;5;0;true
AL02775-20;gid://shopify/ProductVariant/46393460031783;5;0;true
AL02775-21;gid://shopify/ProductVariant/46393460064551;5;0;true
AL02775-22;gid://shopify/ProductVariant/46393460097319;5;0;true
AN01150-10;gid://shopify/ProductVariant/46393475334439;5;0;true
AN01150-11;gid://shopify/ProductVariant/46393475367207;5;0;true
AN01150-12;gid://shopify/ProductVariant/46393475399975;5;0;true
AN01150-13;gid://shopify/ProductVariant/46393475432743;5;0;true
AN01150-14;gid://shopify/ProductVariant/46393475465511;5;0;true
AN01150-15;gid://shopify/ProductVariant/46393475498279;5;0;true
AN01150-16;gid://shopify/ProductVariant/46393475531047;5;0;true
AN01150-17;gid://shopify/ProductVariant/46393475563815;5;0;true
AN01150-18;gid://shopify/ProductVariant/46393475596583;5;0;true
AN01150-19;gid://shopify/ProductVariant/46393475629351;5;0;true
AN01150-20;gid://shopify/ProductVariant/46393475694887;5;0;true
AN01150-21;gid://shopify/ProductVariant/46393475727655;5;0;true
AN01150-22;gid://shopify/ProductVariant/46393475760423;5;0;true
AN01604-10;gid://shopify/ProductVariant/46393490407719;5;0;true
AN01604-11;gid://shopify/ProductVariant/46393490440487;5;0;true
AN01604-12;gid://shopify/ProductVariant/46393490473255;5;0;true
AN01604-13;gid://shopify/ProductVariant/46393490506023;5;0;true
AN01604-14;gid://shopify/ProductVariant/46393490538791;5;0;true
AN01604-15;gid://shopify/ProductVariant/46393490571559;5;0;true
AN01604-16;gid://shopify/ProductVariant/46393490604327;5;0;true
AN01604-17;gid://shopify/ProductVariant/46393490637095;5;0;true
AN01604-18;gid://shopify/ProductVariant/46393490669863;5;0;true
AN01604-19;gid://shopify/ProductVariant/46393490702631;5;0;true
AN01604-20;gid://shopify/ProductVariant/46393490735399;5;0;true
AN01604-21;gid://shopify/ProductVariant/46393490768167;5;0;true
