variant.sku;variant.id;encomenda ouro;encomenda prata;Encomendavel
BR06679T;gid://shopify/ProductVariant/47825281712423;5;0;True
BR06680T;gid://shopify/ProductVariant/47825281745191;5;0;True
BR06681T;gid://shopify/ProductVariant/47825281777959;5;0;True
BR06682T;gid://shopify/ProductVariant/47825281810727;5;0;True
BR06683T;gid://shopify/ProductVariant/47825281843495;5;0;True
BR06685T;gid://shopify/ProductVariant/47825281876263;5;0;True
BR06686T;gid://shopify/ProductVariant/47825281909031;5;0;True
BR06687T;gid://shopify/ProductVariant/47825281941799;5;0;True
BR06688T;gid://shopify/ProductVariant/47825281974567;5;0;True
BR06689T;gid://shopify/ProductVariant/47825282007335;5;0;True
BR06690T;gid://shopify/ProductVariant/47825282040103;5;0;True
BR06691T;gid://shopify/ProductVariant/47825282072871;5;0;True
BR06693T;gid://shopify/ProductVariant/47825282105639;5;0;True
BR06694T;gid://shopify/ProductVariant/47825282138407;5;0;True
BR06695T;gid://shopify/ProductVariant/47825282171175;5;0;True
BR06696T;gid://shopify/ProductVariant/47825282203943;5;0;True
BR06697T;gid://shopify/ProductVariant/47825282236711;5;0;True
BR06698T;gid://shopify/ProductVariant/47825282269479;5;0;True
BR06699T;gid://shopify/ProductVariant/47825282302247;5;0;True
BR06700T;gid://shopify/ProductVariant/47825282335015;5;0;True
BR06701T;gid://shopify/ProductVariant/47825282367783;5;0;True
BR06702T;gid://shopify/ProductVariant/47825282400551;5;0;True
BR06703T;gid://shopify/ProductVariant/47825282433319;5;0;True
BR06704T;gid://shopify/ProductVariant/47825282466087;5;0;True
BR06705T;gid://shopify/ProductVariant/47825282498855;5;0;True
BR06706T;gid://shopify/ProductVariant/47825282531623;5;0;True
CL00016;gid://shopify/ProductVariant/46336255263015;5;0;True
