id;sku;__parentId;product_id;product_title;totalVariants;inventoryItem_id;variant.id;variant.sku;variant.title;location_id;location_name;Qty;sku_2
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48382116888871;BR04014T;gid://shopify/ProductVariant/46330657636647;gid://shopify/Product/8572968665383;Brinco 15 Anos De Ouro Branco 18K E Diamante - P;1;gid://shopify/InventoryItem/48382116888871;gid://shopify/ProductVariant/46330657636647;BR04014T;P;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR04014T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48382116888871;BR04014T;gid://shopify/ProductVariant/46330657636647;gid://shopify/Product/8572968665383;Brinco 15 Anos De Ouro Branco 18K E Diamante - P;1;gid://shopify/InventoryItem/48382116888871;gid://shopify/ProductVariant/46330657636647;BR04014T;P;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR04014T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48382120198439;BR04127T;gid://shopify/ProductVariant/46330660913447;gid://shopify/Product/8572968960295;Brinco 15 Anos De Ouro Branco 18K E Diamante - M;1;gid://shopify/InventoryItem/48382120198439;gid://shopify/ProductVariant/46330660913447;BR04127T;M;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR04127T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48382120198439;BR04127T;gid://shopify/ProductVariant/46330660913447;gid://shopify/Product/8572968960295;Brinco 15 Anos De Ouro Branco 18K E Diamante - M;1;gid://shopify/InventoryItem/48382120198439;gid://shopify/ProductVariant/46330660913447;BR04127T;M;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR04127T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48382916526375;BR04027T;gid://shopify/ProductVariant/46331458519335;gid://shopify/Product/8573060383015;Brinco 15 Anos De Ouro Branco 18K Com Ródio Negro E Diamante Negro - P;1;gid://shopify/InventoryItem/48382916526375;gid://shopify/ProductVariant/46331458519335;BR04027T;P;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR04027T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48382916526375;BR04027T;gid://shopify/ProductVariant/46331458519335;gid://shopify/Product/8573060383015;Brinco 15 Anos De Ouro Branco 18K Com Ródio Negro E Diamante Negro - P;1;gid://shopify/InventoryItem/48382916526375;gid://shopify/ProductVariant/46331458519335;BR04027T;P;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR04027T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48382918787367;BR04355T;gid://shopify/ProductVariant/46331460780327;gid://shopify/Product/8573060677927;Brinco 15 Anos De Ouro Branco 18K Com Ródio Negro E Diamante Negro - M;1;gid://shopify/InventoryItem/48382918787367;gid://shopify/ProductVariant/46331460780327;BR04355T;M;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR04355T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48382918787367;BR04355T;gid://shopify/ProductVariant/46331460780327;gid://shopify/Product/8573060677927;Brinco 15 Anos De Ouro Branco 18K Com Ródio Negro E Diamante Negro - M;1;gid://shopify/InventoryItem/48382918787367;gid://shopify/ProductVariant/46331460780327;BR04355T;M;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR04355T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48382922129703;BR05117T;gid://shopify/ProductVariant/46331464122663;gid://shopify/Product/8573061038375;Brinco 15 Anos De Ouro Branco 18K Com Ródio Negro E Diamante - P;1;gid://shopify/InventoryItem/48382922129703;gid://shopify/ProductVariant/46331464122663;BR05117T;P;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR05117T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48382922129703;BR05117T;gid://shopify/ProductVariant/46331464122663;gid://shopify/Product/8573061038375;Brinco 15 Anos De Ouro Branco 18K Com Ródio Negro E Diamante - P;1;gid://shopify/InventoryItem/48382922129703;gid://shopify/ProductVariant/46331464122663;BR05117T;P;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR05117T
