id;sku;title;price;compareAtPrice;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46334665654567;BR06282T;G;4600.0;4600.0;gid://shopify/Product/8573441376551;Brinco Black Leopardo - G | Prata Com Ródio Negro;0;1;3;BR06282T
gid://shopify/ProductVariant/46334669095207;BR06283T;M;4300.0;4300.0;gid://shopify/Product/8573441868071;Brinco Black Leopardo - M | Prata com Ródio Negro;5;1;3;BR06283T
gid://shopify/ProductVariant/46334672273703;CL04551;M;7800.0;7800.0;gid://shopify/Product/8573442294055;Colar Black Leopardo - Maxi | Prata com Ródio Negro;1;1;2;CL04551
gid://shopify/ProductVariant/46334857085223;BR05931T;G;4700.0;4700.0;gid://shopify/Product/8573469065511;Brinco Blossom De Prata Com Ouro Amarelo E Safira - G;1;1;2;BR05931T
gid://shopify/ProductVariant/46334865015079;BR05933T;P;3500.0;3500.0;gid://shopify/Product/8573470408999;Brinco Blossom De Prata Com Ródio Negro E Safira - P;2;1;3;BR05933T
gid://shopify/ProductVariant/46335058542887;BR06373T;Default Title;78000.0;78000.0;gid://shopify/Product/8573490659623;Brinco Celebrate Triplo | Ouro Amarelo 18K e Diamantes;5;1;2;BR06373T
gid://shopify/ProductVariant/46335063916839;BR06375T;Default Title;59000.0;59000.0;gid://shopify/Product/8573491052839;Brinco Celebrate Duplo | Ouro Amarelo 18K e Diamantes;5;1;4;BR06375T
gid://shopify/ProductVariant/46335067750695;BR06377T;Default Title;33000.0;33000.0;gid://shopify/Product/8573491413287;Brinco Celebrate Duo | Ouro Amarelo 18K e Diamantes;6;1;3;BR06377T
gid://shopify/ProductVariant/46335074533671;BR06379T;Default Title;22000.0;22000.0;gid://shopify/Product/8573492003111;Brinco Celebrate | Ouro Amarelo 18K e Diamantes;6;1;4;BR06379T
gid://shopify/ProductVariant/46335077777703;BR06380T;Default Title;14000.0;14000.0;gid://shopify/Product/8573492298023;Brinco Celebrate Franja | Ouro Amarelo 18K e Diamantes;5;1;3;BR06380T
gid://shopify/ProductVariant/46335081349415;BR06381T;Default Title;4500.0;4500.0;gid://shopify/Product/8573492592935;Brinco Celebrate Plus Solitário | Ouro Amarelo 18K e Diamantes;11;1;3;BR06381T
gid://shopify/ProductVariant/46335086264615;BR06387T;Default Title;9100.0;9100.0;gid://shopify/Product/8573492986151;Brinco Celebrate Rock | Ouro Amarelo 18K e Diamantes;5;1;3;BR06387T
gid://shopify/ProductVariant/46335092654375;BR06299T;Default Title;15000.0;15000.0;gid://shopify/Product/8573493510439;Brinco Celebrate Franja | Ouro Branco 18K E Diamantes;7;1;4;BR06299T
gid://shopify/ProductVariant/46335096095015;BR06301T;Default Title;4500.0;4500.0;gid://shopify/Product/8573493870887;Brinco Celebrate Plus Unitário | Ouro Branco 18K e Diamante;8;1;3;BR06301T
gid://shopify/ProductVariant/46335101468967;BR06302T;Default Title;9400.0;9400.0;gid://shopify/Product/8573494231335;Brinco Celebrate Rock | Ouro Branco 18K e Diamantes;6;1;3;BR06302T
gid://shopify/ProductVariant/46335104123175;BR06372T;Default Title;89000.0;89000.0;gid://shopify/Product/8573494559015;Brinco Celebrate Triplo | Ouro Branco 18K e Diamantes;6;1;4;BR06372T
gid://shopify/ProductVariant/46335107072295;BR06374T;Default Title;68000.0;68000.0;gid://shopify/Product/8573494853927;Brinco Celebrate Duplo | Ouro Branco 18K e Diamantes;6;1;4;BR06374T
gid://shopify/ProductVariant/46335110545703;BR06376T;Default Title;38000.0;38000.0;gid://shopify/Product/8573495181607;Brinco Celebrate Duo | Ouro Branco 18K e Diamantes;6;1;3;BR06376T
gid://shopify/ProductVariant/46335115788583;BR06378T;Default Title;26000.0;26000.0;gid://shopify/Product/8573495607591;Brinco Celebrate | Ouro Branco 18K e Diamantes;6;1;2;BR06378T
