id;sku;title;price;compareAtPrice;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46334669095207;BR06283T;M;4300.0;4300.0;gid://shopify/Product/8573441868071;Brinco Black Leopardo - M | Prata com Ródio Negro;5.0;1.0;3;BR06283T
gid://shopify/ProductVariant/46335058542887;BR06373T;Default Title;78000.0;78000.0;gid://shopify/Product/8573490659623;Brinco Celebrate Triplo | Ouro Amarelo 18K e Diamantes;5.0;1.0;2;BR06373T
gid://shopify/ProductVariant/46335063916839;BR06375T;Default Title;59000.0;59000.0;gid://shopify/Product/8573491052839;Brinco Celebrate Duplo | Ouro Amarelo 18K e Diamantes;5.0;1.0;4;BR06375T
gid://shopify/ProductVariant/46335077777703;BR06380T;Default Title;14000.0;14000.0;gid://shopify/Product/8573492298023;Brinco Celebrate Franja | Ouro Amarelo 18K e Diamantes;5.0;1.0;3;BR06380T
gid://shopify/ProductVariant/46335086264615;BR06387T;Default Title;9100.0;9100.0;gid://shopify/Product/8573492986151;Brinco Celebrate Rock | Ouro Amarelo 18K e Diamantes;5.0;1.0;3;BR06387T
gid://shopify/ProductVariant/46335235391783;BR05407T;Default Title;1800.0;1800.0;gid://shopify/Product/8573506322727;Brinco Ear Cuff Chain De Prata Com Ouro Amarelo;5.0;1.0;4;BR05407T
gid://shopify/ProductVariant/46336139165991;CL01451;Default Title;5200.0;5200.0;gid://shopify/Product/8573581656359;Colar Choker De Ouro Branco 18K Com Ródio Negro E Diamante;5.0;1.0;2;CL01451
gid://shopify/ProductVariant/46336139657511;CL03645;Default Title;5500.0;5500.0;gid://shopify/Product/8573582016807;Colar Choker De Ouro Branco 18K Com Ródio Negro E Diamante Negro;5.0;1.0;2;CL03645
gid://shopify/ProductVariant/46336185958695;BR05650T;Default Title;23000.0;23000.0;gid://shopify/Product/8573585883431;Brinco Ear Cuff Deco 2019 De Ouro Branco 18K E Diamante;5.0;1.0;2;BR05650T
gid://shopify/ProductVariant/46336646447399;CL04480;M;7800.0;7800.0;gid://shopify/Product/8573648732455;Colar Leopardo De Prata Com Ouro Amarelo - Maxi;5.0;1.0;5;CL04480
