id;sku;title;price;compareAtPrice;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46335058542887;BR06373T;Default Title;78000.0;78000.0;gid://shopify/Product/8573490659623;Brinco Celebrate De Ouro Amarelo 18K E Diamante;5.0;1.0;2;BR06373T
gid://shopify/ProductVariant/46335063916839;BR06375T;Default Title;59000.0;59000.0;gid://shopify/Product/8573491052839;Brinco Celebrate De Ouro Amarelo 18K E Diamante;5.0;1.0;3;BR06375T
gid://shopify/ProductVariant/46335067750695;BR06377T;Default Title;33000.0;33000.0;gid://shopify/Product/8573491413287;Brinco Celebrate De Ouro Amarelo 18K E Diamante;5.0;1.0;2;BR06377T
gid://shopify/ProductVariant/46335074533671;BR06379T;Default Title;22000.0;22000.0;gid://shopify/Product/8573492003111;Brinco Celebrate De Ouro Amarelo 18K E Diamante;5.0;1.0;3;BR06379T
gid://shopify/ProductVariant/46335077777703;BR06380T;Default Title;14000.0;14000.0;gid://shopify/Product/8573492298023;Brinco Celebrate De Ouro Amarelo 18K E Diamante;5.0;1.0;2;BR06380T
gid://shopify/ProductVariant/46335104123175;BR06372T;Default Title;89000.0;89000.0;gid://shopify/Product/8573494559015;Brinco Celebrate De Ouro Branco 18K E Diamante;5.0;1.0;3;BR06372T
gid://shopify/ProductVariant/46356159562023;PI01315;Default Title;950.0;950.0;gid://shopify/Product/8577923219751;Pingente JV MAN II De Prata Com Ródio Negro E Ágata;5.0;1.0;2;PI01315
gid://shopify/ProductVariant/46356883669287;CL01134;P;8400.0;8400.0;gid://shopify/Product/8578013364519;Colar JV MAN De Ouro Branco 18K Com Ródio Negro E Diamante Negro - P;5.0;1.0;2;CL01134
gid://shopify/ProductVariant/46356885307687;CL01133;P;8400.0;8400.0;gid://shopify/Product/8578013528359;Colar JV MAN De Ouro Branco 18K E Diamante Negro - P;5.0;1.0;3;CL01133
gid://shopify/ProductVariant/46356887142695;CL01116;Default Title;4100.0;4100.0;gid://shopify/Product/8578013757735;Colar JV MAN De Prata Com Ródio Negro E Diamante Negro;5.0;1.0;2;CL01116
gid://shopify/ProductVariant/46358797156647;PU01716T;P;18000.0;18000.0;gid://shopify/Product/8578448359719;Pulseira Voyeur De Ouro Branco 18K Com Ródio Negro E Diamante Negro;10.0;2.0;2;PU01716T
gid://shopify/ProductVariant/46393437749543;AN02483-10;10;21000.0;21000.0;gid://shopify/Product/8582654427431;Anel 15 Anos De Ouro Branco 18K E Diamante;65.0;13.0;2;AN02483
gid://shopify/ProductVariant/46393447383335;AN03513-10;10;5900.0;5900.0;gid://shopify/Product/8582655901991;Anel Celebrate De Ouro Amarelo 18K E Esmeralda;65.0;13.0;3;AN03513
gid://shopify/ProductVariant/46393461604647;AN03189-10;10;9800.0;9800.0;gid://shopify/Product/8582658457895;Anel Deco 2019 De Ouro Branco 18K E Diamante;65.0;13.0;2;AN03189
gid://shopify/ProductVariant/46393502761255;AN03407-10;10;6500.0;6500.0;gid://shopify/Product/8582663930151;Anel Rock Star De Ouro Branco 18K Com Ródio Negro E Diamante E Safira - M;65.0;13.0;2;AN03407
gid://shopify/ProductVariant/46393507709223;AN03399-10;10;7500.0;7500.0;gid://shopify/Product/8582664782119;Anel Rock Star De Ouro Branco 18K Com Ródio Negro E Diamante E Safira;65.0;13.0;2;AN03399
gid://shopify/ProductVariant/46393508299047;AN03400-10;10;4600.0;4600.0;gid://shopify/Product/8582664913191;Anel Rock Star De Ouro Branco 18K Com Ródio Negro E Diamante Negro - P;65.0;13.0;2;AN03400
gid://shopify/ProductVariant/46393510822183;AN06169-10;10;7500.0;7500.0;gid://shopify/Product/8582665404711;Anel Rock Star De Ouro Branco 18K Com Ródio Negro E Diamante E Safira;65.0;13.0;2;AN06169
gid://shopify/ProductVariant/46512701243687;CL01124;G;10200.0;10200.0;gid://shopify/Product/8613206688039;Colar JV MAN De Ouro Branco 18K E Diamante Negro - G;5.0;1.0;1;CL01124
gid://shopify/ProductVariant/46579531972903;BR06592T;Default Title;29000.0;29000.0;gid://shopify/Product/8630833185063;Argola Fringe  New Vintage De Ouro Amarelo 18K, com Diamantes;5.0;1.0;4;BR06592T
gid://shopify/ProductVariant/46579534528807;BR06621T;Default Title;25000.0;25000.0;gid://shopify/Product/8630834725159;Brinco New Vintage Diamond De Ouro Branco 18K, com Diamantes;5.0;1.0;4;BR06621T
gid://shopify/ProductVariant/46579535085863;BR06622T;Default Title;42000.0;42000.0;gid://shopify/Product/8630834954535;Brinco Diamond Fringe New Vintage De Ouro Branco 18K, com Diamantes;5.0;1.0;5;BR06622T
gid://shopify/ProductVariant/46579536593191;BR06624T;Default Title;37500.0;37500.0;gid://shopify/Product/8630835478823;Argola Power Fringe New Vintage De Ouro Amarelo 18K, com Diamantes;5.0;1.0;4;BR06624T
gid://shopify/ProductVariant/46579545768231;PU02098T;M;34000.0;34000.0;gid://shopify/Product/8630839279911;Pulseira New Vintage Fringe De Ouro Branco 18K, E Diamantes;15.0;3.0;3;PU02098T
