id;title;key;value;__parentId
gid://shopify/Product/8572968665383;Brinco 15 Anos De Ouro Branco 18K E Diamante - P;;;
gid://shopify/Metafield/30870433825063;;genero;"[""Feminino""]";gid://shopify/Product/8572968665383
gid://shopify/Metafield/30870434021671;;metal;Ouro Branco;gid://shopify/Product/8572968665383
gid://shopify/Metafield/30870434152743;;cobertura;Ouro Branco;gid://shopify/Product/8572968665383
gid://shopify/Metafield/30870434251047;;pedra;"[""Diamante""]";gid://shopify/Product/8572968665383
gid://shopify/Metafield/30870434283815;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8572968665383
gid://shopify/Metafield/31224032624935;;metal_filters;"[""OURO""]";gid://shopify/Product/8572968665383
gid://shopify/Product/8572968960295;Brinco 15 Anos De Ouro Branco 18K E Diamante - M;;;
gid://shopify/Metafield/30870436643111;;genero;"[""Feminino""]";gid://shopify/Product/8572968960295
gid://shopify/Metafield/30870436675879;;metal;Ouro Branco;gid://shopify/Product/8572968960295
gid://shopify/Metafield/30870436708647;;cobertura;Ouro Branco;gid://shopify/Product/8572968960295
gid://shopify/Metafield/30870436741415;;pedra;"[""Diamante""]";gid://shopify/Product/8572968960295
gid://shopify/Metafield/30870436774183;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8572968960295
gid://shopify/Metafield/31224032854311;;metal_filters;"[""OURO""]";gid://shopify/Product/8572968960295
gid://shopify/Product/8573060383015;Brinco 15 Anos De Ouro 18K Com Ródio Negro E Diamante Negro - P;;;
gid://shopify/Metafield/30871457464615;;genero;"[""Feminino""]";gid://shopify/Product/8573060383015
gid://shopify/Metafield/30871457530151;;metal;Ouro Amarelo;gid://shopify/Product/8573060383015
gid://shopify/Metafield/30871457595687;;cobertura;Ródio Negro;gid://shopify/Product/8573060383015
gid://shopify/Metafield/30871457628455;;pedra;"[""Diamante Negro""]";gid://shopify/Product/8573060383015
gid://shopify/Metafield/30871457661223;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573060383015
gid://shopify/Metafield/31224033313063;;metal_filters;"[""OURO""]";gid://shopify/Product/8573060383015
gid://shopify/Product/8573060677927;Brinco 15 Anos De Ouro 18K Com Ródio Negro E Diamante Negro - M;;;
gid://shopify/Metafield/30871464182055;;genero;"[""Feminino""]";gid://shopify/Product/8573060677927
gid://shopify/Metafield/30871464214823;;metal;Ouro Amarelo;gid://shopify/Product/8573060677927
gid://shopify/Metafield/30871464247591;;cobertura;Ródio Negro;gid://shopify/Product/8573060677927
gid://shopify/Metafield/30871464280359;;pedra;"[""Diamante Negro""]";gid://shopify/Product/8573060677927
gid://shopify/Metafield/30871464313127;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573060677927
gid://shopify/Metafield/31224033968423;;metal_filters;"[""OURO""]";gid://shopify/Product/8573060677927
gid://shopify/Product/8573061038375;Brinco 15 Anos De Ouro 18K Com Ródio Negro E Diamante - P;;;
gid://shopify/Metafield/30871468343591;;genero;"[""Feminino""]";gid://shopify/Product/8573061038375
gid://shopify/Metafield/30871468409127;;metal;Ouro Amarelo;gid://shopify/Product/8573061038375
gid://shopify/Metafield/30871468474663;;cobertura;Ródio Negro;gid://shopify/Product/8573061038375
gid://shopify/Metafield/30871468540199;;pedra;"[""Diamante""]";gid://shopify/Product/8573061038375
gid://shopify/Metafield/30871468638503;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573061038375
gid://shopify/Metafield/31224034230567;;metal_filters;"[""OURO""]";gid://shopify/Product/8573061038375
gid://shopify/Product/8573203317031;Colar Amore De Ouro Amarelo 18K;;;
gid://shopify/Metafield/30872213586215;;genero;"[""Feminino""]";gid://shopify/Product/8573203317031
gid://shopify/Metafield/30872213618983;;metal;Ouro Amarelo;gid://shopify/Product/8573203317031
gid://shopify/Metafield/30872213651751;;cobertura;Ouro Amarelo;gid://shopify/Product/8573203317031
gid://shopify/Metafield/30872213684519;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573203317031
gid://shopify/Metafield/31224034427175;;metal_filters;"[""OURO""]";gid://shopify/Product/8573203317031
gid://shopify/Product/8573203808551;Colar Amore De Ouro Amarelo 18K;;;
gid://shopify/Metafield/30872213717287;;genero;"[""Feminino""]";gid://shopify/Product/8573203808551
gid://shopify/Metafield/30872213750055;;metal;Ouro Amarelo;gid://shopify/Product/8573203808551
gid://shopify/Metafield/30872213782823;;cobertura;Ouro Amarelo;gid://shopify/Product/8573203808551
gid://shopify/Metafield/30872213815591;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573203808551
gid://shopify/Metafield/31224034754855;;metal_filters;"[""OURO""]";gid://shopify/Product/8573203808551
gid://shopify/Product/8573204300071;Colar Amore De Ouro 18K Com Ródio Negro;;;
gid://shopify/Metafield/30872213848359;;genero;"[""Feminino""]";gid://shopify/Product/8573204300071
gid://shopify/Metafield/30872213881127;;metal;Ouro Amarelo;gid://shopify/Product/8573204300071
gid://shopify/Metafield/30872213913895;;cobertura;Ródio Negro;gid://shopify/Product/8573204300071
gid://shopify/Metafield/30872213946663;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573204300071
gid://shopify/Metafield/31224034885927;;metal_filters;"[""OURO""]";gid://shopify/Product/8573204300071
gid://shopify/Product/8573204758823;Colar Amore De Ouro 18K Com Ródio Negro;;;
gid://shopify/Metafield/30872214602023;;genero;"[""Feminino""]";gid://shopify/Product/8573204758823
gid://shopify/Metafield/30872214634791;;metal;Ouro Amarelo;gid://shopify/Product/8573204758823
gid://shopify/Metafield/30872214667559;;cobertura;Ródio Negro;gid://shopify/Product/8573204758823
