SKU;Porcentagem;Encomenda
AN02949;20;Sim
BR04355T;20;Sim
CL04024;20;Sim
BR02031T;20;Nao
BR06231T;20;Nao
BR06254T;20;Nao
BR06258T;20;Nao
BR06264T;20;Nao
BR06370T;20;Nao
BR06392T;20;Nao
CL04542;20;Nao
CL04577;20;Nao
CL04586;20;Nao
CL06391;20;Nao
AN03398;20;Sim
AN03430;20;Nao
AN03444;20;Nao
AN03454;20;Nao
AN03456;20;Nao
AN03472;20;Nao
AN03473;20;Nao
AN03514;20;Nao
AN03515;20;Nao
AN03540;20;Nao
BR06586T;20;Nao
AN03573;20;Nao
AN03577;20;Nao
BR06520T;20;Nao
BR06521T;20;Nao
BR06522T;20;Nao
BR06523T;20;Nao
BR06528T;20;Nao
CL04608;20;Nao
AN03337;30;Nao
AN03338;30;Nao
AN03342;30;Sim
BR05931T;30;Nao
BR05932T;20;Nao
BR05933T;30;Nao
PU01862T;30;Nao
PU01868T;30;Sim
PU01869T;30;Nao
PU01873T;30;Nao
PU01874T;30;Nao
PU01881T;30;Nao
PU01884T;30;Nao
PU01885T;30;Nao
PU01886T;30;Nao
PU01887T;30;Nao
PU01888T;30;Nao
PU01889T;30;Nao
PU01890T;30;Nao
PU01891T;30;Nao
PU01892T;30;Sim
PU01893T;30;Nao
PI01125;50;Nao
PI01127;50;Nao
PI01132;50;Nao
PI01133;50;Nao
PI01134;50;Sim
PI01136;50;Nao
PI01138;50;Nao
PI01139;50;Nao
PI01341;50;Nao
PI01342;50;Nao
PI01345;50;Nao
PI01346;50;Nao
PI01350;50;Nao
PI01351;50;Nao
AN02300;50;Nao
