Cod_Prod;sku_2;product_id
AL00031;AL00031;gid://shopify/Product/8582656655655
AL00033;AL00033;gid://shopify/Product/8582657311015
AL00037;AL00037;gid://shopify/Product/8582656786727
AL00042;AL00042;gid://shopify/Product/8582657900839
AL00049;AL00049;gid://shopify/Product/8582657966375
AL00069;AL00069;gid://shopify/Product/8582658031911
AL0119;AL0119;gid://shopify/Product/8582657442087
AL0121;AL0121;gid://shopify/Product/8582657573159
AL0123;AL0123;gid://shopify/Product/8582657736999
AL0127;AL0127;gid://shopify/Product/8582656819495
AL0129;AL0129;gid://shopify/Product/8582657016103
AL0131;AL0131;gid://shopify/Product/8582657147175
AN01150;AN01150;gid://shopify/Product/8582660358439
AN01604;AN01604;gid://shopify/Product/8582661996839
AN01606;AN01606;gid://shopify/Product/8582662226215
AN01607;AN01607;gid://shopify/Product/8582662324519
AN01608;AN01608;gid://shopify/Product/8582662455591
AN01609;AN01609;gid://shopify/Product/8582662521127
AN01610;AN01610;gid://shopify/Product/8582662619431
AN01611;AN01611;gid://shopify/Product/8582662390055
AN01865;AN01865;gid://shopify/Product/8582666649895
AN01867;AN01867;gid://shopify/Product/8582665699623
AN01868;AN01868;gid://shopify/Product/8582665830695
AN02276;AN02276;gid://shopify/Product/8582665634087
AN02473;AN02473;gid://shopify/Product/8612627841319
AN02505;AN02505;gid://shopify/Product/8582663078183
AN02506;AN02506;gid://shopify/Product/8582662816039
AN02702;AN02702;gid://shopify/Product/8612227383591
AN02824;AN02824;gid://shopify/Product/8582661472551
AN02937;AN02937;gid://shopify/Product/8613207212327
AN02943;AN02943;gid://shopify/Product/8612628267303
AN02949;AN02949;gid://shopify/Product/8582654296359
AN03026;AN03026;gid://shopify/Product/8582660882727
AN03031;AN03031;gid://shopify/Product/8582661308711
AN03043;AN03043;gid://shopify/Product/8612629381415
AN03046;AN03046;gid://shopify/Product/8612629217575
AN03073;AN03073;gid://shopify/Product/8582656426279
AN03074;AN03074;gid://shopify/Product/8582656590119
AN03148;AN03148;gid://shopify/Product/8609682620711
AN03240;AN03240;gid://shopify/Product/8612628693287
AN03267;AN03267;gid://shopify/Product/8630831677735
AN03323;AN03323;gid://shopify/Product/8612630921511
AN03360;AN03360;gid://shopify/Product/8582663176487
AN03361;AN03361;gid://shopify/Product/8582663340327
AN03448;AN03448;gid://shopify/Product/8609683931431
AN03500;AN03500;gid://shopify/Product/8612659200295
AN03512;AN03512;gid://shopify/Product/8582656327975
AN03513;AN03513;gid://shopify/Product/8582655901991
AN03533;AN03533;gid://shopify/Product/8609680982311
AN03562;AN03562;gid://shopify/Product/8582659014951
AN03565;AN03565;gid://shopify/Product/8582659309863
AN03566;AN03566;gid://shopify/Product/8582659506471
AN03573;AN03573;gid://shopify/Product/8582666977575
AN03585;AN03585;gid://shopify/Product/8582661734695
AN03586;AN03586;gid://shopify/Product/8582661865767
AN03640;AN03640;gid://shopify/Product/9564725903655
AN03661;AN03661;gid://shopify/Product/9798195380519
AN03662;AN03662;gid://shopify/Product/9798196953383
AN03663;AN03663;gid://shopify/Product/9796585259303
AN06195;AN06195;gid://shopify/Product/8582665437479
AN0791;AN0791;gid://shopify/Product/8582660587815
AN0792;AN0792;gid://shopify/Product/8582660456743
AN0793;AN0793;gid://shopify/Product/8582660292903
BR01992T;BR01992T;gid://shopify/Product/8577738277159
