id;sku;title;price;compareAtPrice;inventoryQuantity;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46335263408423;PU01791T;P;3700.0;3700.0;10;gid://shopify/Product/8573508714791;Pulseira Chain De Prata Com Ouro Amarelo - Elo P;28.0;3.0;5;PU01791T
gid://shopify/ProductVariant/46335277662503;PU01792T;P;3700.0;3700.0;2;gid://shopify/Product/8573509992743;Pulseira Chain De Prata Com Ródio Negro - Elo P;12.0;3.0;3;PU01792T
gid://shopify/ProductVariant/46355373031719;PU01661T;M;4850.0;4850.0;5;gid://shopify/Product/8577723072807;Pulseira Orquidea De Prata Com Ouro Rosa E Diamante;18.0;3.0;2;PU01661T
gid://shopify/ProductVariant/46356167262503;PU01853T;M;6500.0;6500.0;6;gid://shopify/Product/8577924268327;Pulseira JV MAN II De Prata Com Ródio Negro E Diamante Negro;11.0;2.0;2;PU01853T
gid://shopify/ProductVariant/46356170703143;PU01852T;P;6500.0;6500.0;5;gid://shopify/Product/8577925054759;Pulseira JV MAN II De Prata Com Ródio Negro;11.0;2.0;1;PU01852T
gid://shopify/ProductVariant/46356183122215;PU01868T;P;2900.0;2900.0;8;gid://shopify/Product/8577927053607;Pulseira JV MAN II De Prata Com Ródio Negro;12.0;3.0;3;PU01868T
gid://shopify/ProductVariant/46356188561703;PU01873T;P;2900.0;2900.0;7;gid://shopify/Product/8577927676199;Pulseira JV MAN II De Prata Com Ouro Branco;8.0;2.0;3;PU01873T
gid://shopify/ProductVariant/46356210614567;PU01855T;P;1590.0;1590.0;6;gid://shopify/Product/8577930985767;Pulseira JV MAN II De Prata Com Ródio Negro;30.0;4.0;2;PU01855T
gid://shopify/ProductVariant/46356211204391;PU01858T;P;1590.0;1590.0;7;gid://shopify/Product/8577931280679;Pulseira JV MAN II De Prata Com Ouro Branco;29.0;4.0;2;PU01858T
gid://shopify/ProductVariant/46356289356071;PU01900T;P;1590.0;1590.0;6;gid://shopify/Product/8577941307687;Pulseira JV MAN II De Prata Com Ródio Negro Fosco;24.0;4.0;1;PU01900T
gid://shopify/ProductVariant/46356295876903;PU01904T;P;1590.0;1590.0;6;gid://shopify/Product/8577942192423;Pulseira JV MAN II De Prata Com Ouro Branco Fosco;22.0;4.0;1;PU01904T
gid://shopify/ProductVariant/46356299809063;PU01885T;P;2700.0;2700.0;1;gid://shopify/Product/8577943175463;Pulseira JV MAN II De Prata Com Ouro Branco Fosco;24.0;4.0;2;PU01885T
