id;sku;title;price;compareAtPrice;inventoryQuantity;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46330657636647;BR04014T;P;21000.0;17000.0;5;gid://shopify/Product/8572968665383;Brinco 15 Anos - P | Ouro Branco 18K E Diamantes;5.0;1.0;3;BR04014T
gid://shopify/ProductVariant/46331458519335;BR04027T;P;13000.0;10900.0;5;gid://shopify/Product/8573060383015;Brinco 15 Anos - P | Ouro Branco 18K Com Ródio Negro E Diamantes Negros;5.0;1.0;2;BR04027T
gid://shopify/ProductVariant/46331464122663;BR05117T;P;14000.0;12600.0;5;gid://shopify/Product/8573061038375;Brinco 15 Anos - P | Ouro Branco 18K Com Ródio Negro E Diamantes;5.0;1.0;2;BR05117T
gid://shopify/ProductVariant/46332840935719;BR05813T;G;19000.0;12500.0;5;gid://shopify/Product/8573252272423;Brinco Avantgarde | Ouro Branco 18K Com Ródio Negro E Diamantes;5.0;1.0;3;BR05813T
gid://shopify/ProductVariant/46334858985767;BR05938T;Default Title;3700.0;3700.0;5;gid://shopify/Product/8573469491495;Brinco Blossom | Prata Com Ouro Amarelo 18k E Safira;5.0;1.0;2;BR05938T
gid://shopify/ProductVariant/46335063916839;BR06375T;Default Title;59000.0;59000.0;5;gid://shopify/Product/8573491052839;Brinco Celebrate Duplo | Ouro Amarelo 18K e Diamantes;5.0;1.0;4;BR06375T
gid://shopify/ProductVariant/46335077777703;BR06380T;Default Title;17200.0;14000.0;5;gid://shopify/Product/8573492298023;Brinco Celebrate Franja | Ouro Amarelo 18K e Diamantes;5.0;1.0;3;BR06380T
gid://shopify/ProductVariant/46335086264615;BR06387T;Default Title;11700.0;9100.0;5;gid://shopify/Product/8573492986151;Brinco Celebrate Rock | Ouro Amarelo 18K e Diamantes;5.0;1.0;3;BR06387T
gid://shopify/ProductVariant/46335096095015;BR06301T;Default Title;5200.0;4500.0;5;gid://shopify/Product/8573493870887;Brinco Celebrate Plus Unitário | Ouro Branco 18K e Diamante;5.0;1.0;3;BR06301T
gid://shopify/ProductVariant/46335115788583;BR06378T;Default Title;26000.0;26000.0;5;gid://shopify/Product/8573495607591;Brinco Celebrate | Ouro Branco 18K e Diamantes;5.0;1.0;2;BR06378T
gid://shopify/ProductVariant/46335229755687;BR05400T;G;2300.0;2300.0;5;gid://shopify/Product/8573505896743;Brinco Argola Chain - G | Prata Com Ouro Amarelo 18k;5.0;1.0;5;BR05400T
gid://shopify/ProductVariant/46336082936103;BR05581T;Default Title;3300.0;2900.0;5;gid://shopify/Product/8573576708391;Piercing Chain Lovers | Ouro Branco 18K Com Ródio Negro E Diamantes;5.0;1.0;2;BR05581T
gid://shopify/ProductVariant/46336089096487;BR05580T;Default Title;4300.0;3200.0;5;gid://shopify/Product/8573577265447;Piercing Chain Lovers | Ouro Branco 18K E Diamantes;5.0;1.0;2;BR05580T
gid://shopify/ProductVariant/46336093389095;BR05604T;Default Title;11000.0;;5;gid://shopify/Product/8573577593127;Brinco Argola Chain Lovers - Mini | Ouro Branco 18K e Diamantes;5.0;1.0;3;BR05604T
gid://shopify/ProductVariant/46336096796967;BR05777T;Default Title;13600.0;12000.0;5;gid://shopify/Product/8573577920807;Piercing Chain Lovers | Ouro Branco 18K Com Ródio Negro E Diamantes;5.0;1.0;3;BR05777T
gid://shopify/ProductVariant/46336121569575;CL01443;Default Title;24000.0;20900.0;5;gid://shopify/Product/8573579919655;Colar Choker De Ouro Amarelo 18K;5.0;1.0;3;CL01443
gid://shopify/ProductVariant/46336139264295;CL03641;Default Title;7000.0;5200.0;5;gid://shopify/Product/8573581787431;Colar Choker De Ouro Branco 18K Com Ródio Negro E Rubi;5.0;1.0;3;CL03641
gid://shopify/ProductVariant/46336139493671;CL03642;Default Title;7600.0;6500.0;5;gid://shopify/Product/8573581852967;Colar Choker De Ouro Branco 18K Com Ródio Negro E Esmeralda;5.0;1.0;3;CL03642
gid://shopify/ProductVariant/46336139559207;CL03643;Default Title;5900.0;5200.0;5;gid://shopify/Product/8573581918503;Colar Choker De Ouro Branco 18K Com Ródio Negro E Safira;5.0;1.0;3;CL03643
gid://shopify/ProductVariant/46336139657511;CL03645;Default Title;6200.0;5500.0;5;gid://shopify/Product/8573582016807;Colar Choker De Ouro Branco 18K Com Ródio Negro E Diamante Negro;5.0;1.0;3;CL03645
gid://shopify/ProductVariant/46336140837159;CL01438;Default Title;32000.0;32000.0;5;gid://shopify/Product/8573582213415;Colar Choker De Ouro Branco 18K E Diamante;5.0;1.0;3;CL01438
gid://shopify/ProductVariant/46336178258215;BR05649T;Default Title;15500.0;14500.0;5;gid://shopify/Product/8573585326375;Brinco Ear Cuff Deco 2019 | Ouro Amarelo 18K com ródio negro E Diamantes;5.0;1.0;2;BR05649T
gid://shopify/ProductVariant/46336185958695;BR05650T;Default Title;24000.0;23000.0;5;gid://shopify/Product/8573585883431;Brinco Ear Cuff Deco 2019 De Ouro Branco 18K E Diamante;5.0;1.0;2;BR05650T
gid://shopify/ProductVariant/46336245661991;BR02400T;Default Title;7900.0;5200.0;5;gid://shopify/Product/8573591617831;Brinco Clássico | Ouro Amarelo 18K E Diamantes;5.0;1.0;3;BR02400T
gid://shopify/ProductVariant/46336255263015;CL00016;Default Title;1800.0;1800.0;5;gid://shopify/Product/8573592699175;Corrente Clássico De Ouro Amarelo 18K;5.0;1.0;3;CL00016
gid://shopify/ProductVariant/46336261521703;CO01277;Default Title;1800.0;1800.0;5;gid://shopify/Product/8573593551143;Corrente Clássico De Ouro Branco 18K;5.0;1.0;2;CO01277
gid://shopify/ProductVariant/46336265126183;CO01317;Default Title;3700.0;3700.0;5;gid://shopify/Product/8573594009895;Corrente Clássico De Ouro Rosa 18K;5.0;1.0;3;CO01317
gid://shopify/ProductVariant/46336267059495;BR03167T;Default Title;2200.0;1600.0;5;gid://shopify/Product/8573594304807;Piercing Clássico De Ouro Branco 18K Com Ródio Negro E Diamante Negro;5.0;1.0;3;BR03167T
gid://shopify/ProductVariant/46336272269607;PU01422T;Default Title;1900.0;1500.0;5;gid://shopify/Product/8573595222311;Pulseira Clássico De Ouro Branco 18K E Safira;5.0;1.0;2;PU01422T
gid://shopify/ProductVariant/46336274202919;PU01074T;Default Title;2500.0;1850.0;5;gid://shopify/Product/8573595418919;Pulseira Clássico De Ouro Rosa 18K E Safira;5.0;1.0;3;PU01074T
gid://shopify/ProductVariant/46336276201767;PU01552T;Default Title;2500.0;1500.0;5;gid://shopify/Product/8573595549991;Pulseira Clássico De Ouro Rosa 18K E Safira;5.0;1.0;2;PU01552T
gid://shopify/ProductVariant/46336304644391;BR04220T;Default Title;2200.0;2200.0;5;gid://shopify/Product/8573598564647;Brinco Especial De Ouro Branco 18K E Diamante Negro;5.0;1.0;1;BR04220T
gid://shopify/ProductVariant/46336308347175;BR04223T;Default Title;12400.0;12400.0;5;gid://shopify/Product/8573598957863;Brinco Especial De Ouro Branco 18K E Diamante Negro;5.0;1.0;0;BR04223T
gid://shopify/ProductVariant/46336406159655;BR06039T;Default Title;5900.0;5900.0;5;gid://shopify/Product/8573608821031;Brinco Especial De Ouro Branco 18K E Diamante Solitário;5.0;1.0;3;BR06039T
gid://shopify/ProductVariant/46336406225191;BR06040T;Default Title;7800.0;;5;gid://shopify/Product/8573608853799;Brinco Especial De Ouro Branco 18K E Diamante Solitário;5.0;1.0;3;BR06040T
gid://shopify/ProductVariant/46336406257959;BR06041T;Default Title;10500.0;10500.0;5;gid://shopify/Product/8573608886567;Brinco Especial De Ouro Branco 18K E Diamante Solitário;5.0;1.0;3;BR06041T
gid://shopify/ProductVariant/46336406847783;BR06042T;Default Title;16800.0;16800.0;5;gid://shopify/Product/8573609017639;Brinco Especial De Ouro Branco 18K E Diamante Solitário;5.0;1.0;3;BR06042T
gid://shopify/ProductVariant/46336408060199;BR06111T;Default Title;1400.0;1400.0;5;gid://shopify/Product/8573609214247;Brinco Especial De Ouro Rosa 18K E Diamante Solitário;5.0;1.0;0;BR06111T
gid://shopify/ProductVariant/46336409796903;CL04441;Default Title;7500.0;5950.0;5;gid://shopify/Product/8573609476391;Colar Especial De Ouro Branco 18K E Diamante Solitário;5.0;1.0;2;CL04441
gid://shopify/ProductVariant/46336529334567;BR02064T;Default Title;8400.0;8400.0;5;gid://shopify/Product/8573626286375;Brinco Galeria De Ouro Amarelo 18K;5.0;1.0;2;BR02064T
gid://shopify/ProductVariant/46336531333415;BR02005T;Default Title;13900.0;13900.0;5;gid://shopify/Product/8573626679591;Brinco Galeria De Ouro Branco 18K E Diamante;5.0;1.0;2;BR02005T
gid://shopify/ProductVariant/46336542605607;CL00332;P;4400.0;4400.0;5;gid://shopify/Product/8573629301031;Colar Algema De Ouro Branco 18K E Diamante - P;5.0;1.0;5;CL00332
gid://shopify/ProductVariant/46336551715111;PU01333T;P;3700.0;3700.0;5;gid://shopify/Product/8573630546215;Pulseira Algeminha De Ouro Branco 18K E Diamante - P;5.0;1.0;3;PU01333T
