id;sku;title;price;compareAtPrice;inventoryQuantity;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46330657636647;BR04014T;P;24500.0;17000.0;7;gid://shopify/Product/8572968665383;Brinco 15 Anos - P | Ouro Branco 18K E Diamantes;7.0;1.0;3;BR04014T
gid://shopify/ProductVariant/46331460780327;BR04355T;M;25500.0;19700.0;1;gid://shopify/Product/8573060677927;Brinco 15 Anos - M | Ouro Branco 18K Com Ródio Negro E Diamantes Negros;1.0;1.0;4;BR04355T
gid://shopify/ProductVariant/46332394570023;CL04023;Default Title;5500.0;3400.0;7;gid://shopify/Product/8573203317031;Colar Amore De Ouro Amarelo 18K;7.0;1.0;3;CL04023
gid://shopify/ProductVariant/46332398502183;CL04025;Default Title;5500.0;3400.0;7;gid://shopify/Product/8573203808551;Colar Amore De Ouro Amarelo 18K;7.0;1.0;3;CL04025
gid://shopify/ProductVariant/46332404007207;CL04022;Default Title;5500.0;3400.0;1;gid://shopify/Product/8573204300071;Colar Amore De Ouro Branco 18K Com Ródio Negro;1.0;1.0;3;CL04022
gid://shopify/ProductVariant/46332847554855;BR05812T;G;24500.0;15200.0;6;gid://shopify/Product/8573252960551;Brinco Avantgarde | Ouro Branco 18K E Diamantes;6.0;1.0;3;BR05812T
gid://shopify/ProductVariant/46334861377831;BR05932T;G;3010.0;4300.0;2;gid://shopify/Product/8573469917479;Brinco Blossom - G | Prata Com Ródio Negro E Safira;2.0;1.0;2;BR05932T
gid://shopify/ProductVariant/46334865015079;BR05933T;P;3500.0;3500.0;1;gid://shopify/Product/8573470408999;Brinco Blossom - P | Prata Com Ródio Negro E Safira;1.0;1.0;3;BR05933T
gid://shopify/ProductVariant/46335074533671;BR06379T;Default Title;25500.0;22000.0;7;gid://shopify/Product/8573492003111;Brinco Celebrate | Ouro Amarelo 18K e Diamantes;7.0;1.0;4;BR06379T
gid://shopify/ProductVariant/46335081349415;BR06381T;Default Title;5900.0;4500.0;8;gid://shopify/Product/8573492592935;Brinco Celebrate Plus Solitário | Ouro Amarelo 18K e Diamantes;8.0;1.0;3;BR06381T
gid://shopify/ProductVariant/46335096095015;BR06301T;Default Title;5900.0;4500.0;7;gid://shopify/Product/8573493870887;Brinco Celebrate Plus Unitário | Ouro Branco 18K e Diamante;7.0;1.0;3;BR06301T
gid://shopify/ProductVariant/46335101468967;BR06302T;Default Title;13900.0;9400.0;6;gid://shopify/Product/8573494231335;Brinco Celebrate Rock | Ouro Branco 18K e Diamantes;6.0;1.0;3;BR06302T
gid://shopify/ProductVariant/46335110545703;BR06376T;Default Title;43900.0;38000.0;6;gid://shopify/Product/8573495181607;Brinco Celebrate Duo | Ouro Branco 18K e Diamantes;6.0;1.0;3;BR06376T
gid://shopify/ProductVariant/46335121588519;BR06388T;Default Title;57500.0;50000.0;1;gid://shopify/Product/8573495968039;Brinco Celebrate | Ouro Amarelo 18K com Diamantes e Esmeraldas;1.0;1.0;2;BR06388T
gid://shopify/ProductVariant/46335235391783;BR05407T;Default Title;1800.0;1800.0;6;gid://shopify/Product/8573506322727;Brinco Ear Cuff Chain | Prata Com Ouro Amarelo 18k;6.0;1.0;4;BR05407T
gid://shopify/ProductVariant/46335239291175;BR05602T;Default Title;1400.0;1400.0;7;gid://shopify/Product/8573506617639;Brinco Argola Chain - Mini | Prata Com Ouro Amarelo 18k;7.0;1.0;5;BR05602T
gid://shopify/ProductVariant/46335240372519;BR05399T;Default Title;1250.0;1250.0;11;gid://shopify/Product/8573506715943;Brinco Chain - Unitário | Prata Com Ródio Negro;11.0;1.0;3;BR05399T
gid://shopify/ProductVariant/46335245091111;BR05412T;P;1600.0;1600.0;1;gid://shopify/Product/8573507240231;Brinco Argola Chain - P | Prata Com Ródio Negro;1.0;1.0;4;BR05412T
gid://shopify/ProductVariant/46335247352103;CL04178;P;6200.0;6200.0;6;gid://shopify/Product/8573507469607;Colar Chain - P | Prata Com Ouro Amarelo 18K;6.0;1.0;3;CL04178
gid://shopify/ProductVariant/46335251644711;CL04182;G;8500.0;8500.0;9;gid://shopify/Product/8573507830055;Colar Chain - G | Prata Com Ouro Amarelo 18K;9.0;1.0;5;CL04182
gid://shopify/ProductVariant/46335260197159;BR05606T;Default Title;980.0;980.0;8;gid://shopify/Product/8573508452647;Piercing Chain | Prata Com Ouro Amarelo 18K;8.0;1.0;4;BR05606T
gid://shopify/ProductVariant/46335263408423;PU01791T;P;3700.0;3700.0;7;gid://shopify/Product/8573508714791;Pulseira Chain De Prata Com Ouro Amarelo - Elo P;21.0;3.0;5;PU01791T
gid://shopify/ProductVariant/46335274320167;PU01805T;G;4900.0;4900.0;9;gid://shopify/Product/8573509730599;Pulseira Chain De Prata Com Ouro Amarelo - Elo G;9.0;1.0;3;PU01805T
